Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/9f1ee0cf2832c7b5,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
2,325,https://pokepast.es/fc2f02b3c7a759ad,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
3,300,https://pokepast.es/64897a9db9f67ce4,volcarona,porygon2,annihilape,ursaluna,gholdengo,grimmsnarl
4,300,https://pokepast.es/e574cdc3161cac05,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
5,280,https://pokepast.es/3ee66940cca7a39f,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
6,280,https://pokepast.es/2931a35f015ed0fb,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
7,280,https://pokepast.es/488001030528e81a,incineroar,tyranitar,porygon2,ursaluna,amoonguss,gholdengo
8,280,https://pokepast.es/613d7ca3d978d628,dragonite,dondozo,tatsugiri-curly,annihilape,clefable,kingambit
9,160,https://pokepast.es/ef012fb714baa6c6,typhlosion-hisui,garchomp,corviknight,weezing-galar,pawmot,toedscruel
10,160,https://pokepast.es/a9f3357d7a3a6e81,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
11,160,https://pokepast.es/a9f3357d7a3a6e81,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
12,160,https://pokepast.es/0447b2d47b09e35d,incineroar,rillaboom,whimsicott,primarina,annihilape,gholdengo
13,160,https://pokepast.es/dcd5d6da01c26d0d,incineroar,rillaboom,tauros-paldea-aqua-breed,whimsicott,glimmora,farigiraf
14,160,https://pokepast.es/15d4f0fd761a8412,typhlosion-hisui,primarina,volbeat,espathra,indeedee-female,archaludon
15,160,https://pokepast.es/6e82e807cc28a7c5,incineroar,porygon2,ursaluna,amoonguss,sneasler,gholdengo
16,160,https://pokepast.es/8c3ef2aeda2b3d85,rillaboom,volcarona,glimmora,sneasler,dragapult,kingambit
17,125,https://pokepast.es/f81dbf9ac163e58b,salamence,pelipper,basculegion-male,archaludon,amoonguss,kingambit
