Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/ce4d5e47c455ebb8,incineroar,porygon2,dragonite,annihilape,ursaluna,gholdengo
2,325,https://pokepast.es/ab6619e6dbd864ec,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
3,300,https://pokepast.es/f138acc039dc1a0d,torkoal,gallade,armarouge,hatterene,indeedee-female,zoroark-hisui
4,300,https://pokepast.es/4b133e060c65f7be,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
5,280,https://pokepast.es/277761a3425f8af0,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
6,280,https://pokepast.es/b7e2672c41c54882,incineroar,whimsicott,dragonite,annihilape,archaludon,ursaluna-bloodmoon
7,280,https://pokepast.es/79491feb69a8574c,incineroar,rillaboom,charizard,whimsicott,ursaluna-bloodmoon,farigiraf
8,280,https://pokepast.es/9e3b203c410de756,incineroar,rillaboom,volcarona,dragonite,annihilape,ursaluna-bloodmoon
9,160,https://pokepast.es/b07da2b434828e87,incineroar,garchomp,dragonite,tyranitar,amoonguss,gholdengo
10,160,https://pokepast.es/c8f7fb1e16789908,incineroar,rillaboom,volcarona,dragonite,annihilape,ursaluna-bloodmoon
11,160,https://pokepast.es/3b3d189b352ae612,incineroar,whimsicott,dragonite,annihilape,archaludon,ursaluna-bloodmoon
12,160,https://pokepast.es/89b19d769ff30f90,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
13,160,https://pokepast.es/a31e8cc783b2bc8b,incineroar,rillaboom,charizard,whimsicott,ursaluna-bloodmoon,farigiraf
14,160,https://pokepast.es/45e915e299bfd648,incineroar,ceruledge,meowscarada,amoonguss,ursaluna-bloodmoon,farigiraf
15,160,https://pokepast.es/02cc8ecf56e7b00c,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
16,160,https://pokepast.es/e521ae75ee848163,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
