 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Incineroar         | 50.21713% | 41697  | 41.539% | 19869  | 42.913% | 
 | 2    | Dragonite          | 49.00408% | 25573  | 25.476% | 10955  | 23.661% | 
 | 3    | Gholdengo          | 47.98092% | 29123  | 29.013% | 13755  | 29.708% | 
 | 4    | Sneasler           | 38.56978% | 29143  | 29.033% | 14731  | 31.816% | 
 | 5    | Ursaluna-Bloodmoon | 30.44094% | 22482  | 22.397% | 12624  | 27.265% | 
 | 6    | Annihilape         | 30.29020% | 17810  | 17.743% | 8142   | 17.585% | 
 | 7    | Rillaboom          | 28.33796% | 24577  | 24.484% | 11884  | 25.667% | 
 | 8    | Archaludon         | 26.88196% | 25079  | 24.984% | 13957  | 30.144% | 
 | 9    | Amoonguss          | 23.81357% | 20993  | 20.914% | 8111   | 17.518% | 
 | 10   | Ursaluna           | 22.53077% | 15565  | 15.506% | 8277   | 17.877% | 
 | 11   | Pelipper           | 19.47377% | 20228  | 20.151% | 10694  | 23.097% | 
 | 12   | Indeedee           | 15.39419% | 9984   |  9.946% | 5021   | 10.844% | 
 | 13   | Sinistcha          | 12.89674% | 10853  | 10.812% | 4973   | 10.741% | 
 | 14   | Volcarona          | 12.57206% | 9297   |  9.262% | 3801   |  8.209% | 
 | 15   | Electabuzz         | 12.44855% | 11927  | 11.882% | 4024   |  8.691% | 
 | 16   | Porygon2           | 11.60452% | 8558   |  8.526% | 3648   |  7.879% | 
 | 17   | Talonflame         | 11.20190% | 8021   |  7.991% | 2430   |  5.248% | 
 | 18   | Basculegion        | 10.98075% | 12682  | 12.634% | 6760   | 14.600% | 
 | 19   | Dondozo            | 10.54844% | 5065   |  5.046% | 2431   |  5.251% | 
 | 20   | Kingambit          | 10.22805% | 13632  | 13.580% | 5567   | 12.024% | 
 | 21   | Tyranitar          |  8.96321% | 7649   |  7.620% | 4397   |  9.497% | 
 | 22   | Ninetales-Alola    |  8.71154% | 9826   |  9.789% | 4677   | 10.101% | 
 | 23   | Garchomp           |  7.27307% | 12720  | 12.672% | 6332   | 13.676% | 
 | 24   | Maushold           |  7.15792% | 8431   |  8.399% | 3091   |  6.676% | 
 | 25   | Tatsugiri          |  7.15105% | 2832   |  2.821% | 1507   |  3.255% | 
 | 26   | Magmar             |  6.17378% | 3843   |  3.828% | 1503   |  3.246% | 
 | 27   | Glimmora           |  5.49803% | 1734   |  1.727% | 842    |  1.819% | 
 | 28   | Torkoal            |  5.23233% | 8463   |  8.431% | 4946   | 10.682% | 
 | 29   | Kilowattrel        |  4.71168% | 2777   |  2.766% | 1090   |  2.354% | 
 | 30   | Whimsicott         |  4.65732% | 9370   |  9.335% | 3208   |  6.929% | 
 | 31   | Primarina          |  3.52704% | 7885   |  7.855% | 3917   |  8.460% | 
 | 32   | Baxcalibur         |  3.46242% | 3354   |  3.341% | 1610   |  3.477% | 
 | 33   | Indeedee-F         |  3.28880% | 7872   |  7.842% | 3427   |  7.402% | 
 | 34   | Excadrill          |  2.92179% | 2847   |  2.836% | 1447   |  3.125% | 
 | 35   | Grimmsnarl         |  2.90959% | 3483   |  3.470% | 1230   |  2.657% | 
 | 36   | Hydreigon          |  2.56116% | 4169   |  4.153% | 1842   |  3.978% | 
 | 37   | Jumpluff           |  2.30327% | 2712   |  2.702% | 975    |  2.106% | 
 | 38   | Dragapult          |  2.20994% | 5874   |  5.852% | 2786   |  6.017% | 
 | 39   | Charizard          |  2.05654% | 2742   |  2.732% | 1300   |  2.808% | 
 | 40   | Hatterene          |  2.00117% | 3238   |  3.226% | 1636   |  3.533% | 
 | 41   | Vivillon           |  1.92192% | 1197   |  1.192% | 452    |  0.976% | 
 | 42   | Farigiraf          |  1.85115% | 6162   |  6.139% | 2095   |  4.525% | 
 | 43   | Corviknight        |  1.76074% | 4557   |  4.540% | 1766   |  3.814% | 
 | 44   | Murkrow            |  1.69810% | 3428   |  3.415% | 1180   |  2.549% | 
 | 45   | Lilligant-Hisui    |  1.63445% | 2041   |  2.033% | 547    |  1.181% | 
 | 46   | Sableye            |  1.41709% | 821    |  0.818% | 293    |  0.633% | 
 | 47   | Gallade            |  1.40650% | 3404   |  3.391% | 1603   |  3.462% | 
 | 48   | Typhlosion-Hisui   |  1.26601% | 7422   |  7.394% | 3984   |  8.605% | 
 | 49   | Milotic            |  1.24711% | 1990   |  1.982% | 822    |  1.775% | 
 | 50   | Kommo-o            |  0.98291% | 2728   |  2.718% | 1145   |  2.473% | 
 | 51   | Arcanine-Hisui     |  0.84812% | 1808   |  1.801% | 818    |  1.767% | 
 | 52   | Weezing-Galar      |  0.78062% | 3506   |  3.493% | 1271   |  2.745% | 
 | 53   | Armarouge          |  0.76129% | 3218   |  3.206% | 1623   |  3.505% | 
 | 54   | Gastrodon          |  0.72963% | 1811   |  1.804% | 756    |  1.633% | 
 | 55   | Politoed           |  0.66898% | 1789   |  1.782% | 939    |  2.028% | 
 | 56   | Zoroark-Hisui      |  0.61586% | 1646   |  1.640% | 440    |  0.950% | 
 | 57   | Toedscruel         |  0.58618% | 2968   |  2.957% | 1403   |  3.030% | 
 | 58   | Dusclops           |  0.53433% | 646    |  0.644% | 302    |  0.652% | 
 | 59   | Klefki             |  0.52872% | 831    |  0.828% | 276    |  0.596% | 
 | 60   | Salamence          |  0.49522% | 1243   |  1.238% | 540    |  1.166% | 
 | 61   | Flamigo            |  0.42754% | 1257   |  1.252% | 580    |  1.253% | 
 | 62   | Weavile            |  0.41472% | 713    |  0.710% | 321    |  0.693% | 
 | 63   | Gothitelle         |  0.37829% | 2628   |  2.618% | 1198   |  2.587% | 
 | 64   | Araquanid          |  0.37693% | 567    |  0.565% | 225    |  0.486% | 
 | 65   | Chandelure         |  0.36132% | 753    |  0.750% | 367    |  0.793% | 
 | 66   | Scizor             |  0.34293% | 619    |  0.617% | 265    |  0.572% | 
 | 67   | Venonat            |  0.32794% | 51     |  0.051% | 21     |  0.045% | 
 | 68   | Ribombee           |  0.32725% | 387    |  0.386% | 141    |  0.305% | 
 | 69   | Kleavor            |  0.32489% | 475    |  0.473% | 202    |  0.436% | 
 | 70   | Palafin            |  0.31986% | 1656   |  1.650% | 830    |  1.793% | 
 | 71   | Pawmot             |  0.30913% | 2248   |  2.239% | 1060   |  2.289% | 
 | 72   | Raichu             |  0.27956% | 647    |  0.645% | 290    |  0.626% | 
 | 73   | Scrafty            |  0.27948% | 346    |  0.345% | 148    |  0.320% | 
 | 74   | Clefable           |  0.26873% | 2482   |  2.473% | 932    |  2.013% | 
 | 75   | Arcanine           |  0.25728% | 909    |  0.906% | 363    |  0.784% | 
 | 76   | Orthworm           |  0.25403% | 341    |  0.340% | 109    |  0.235% | 
 | 77   | Hawlucha           |  0.23960% | 107    |  0.107% | 44     |  0.095% | 
 | 78   | Blaziken           |  0.23550% | 984    |  0.980% | 460    |  0.994% | 
 | 79   | Kingdra            |  0.21609% | 851    |  0.848% | 426    |  0.920% | 
 | 80   | Smeargle           |  0.20685% | 823    |  0.820% | 344    |  0.743% | 
 | 81   | Greninja           |  0.18724% | 615    |  0.613% | 273    |  0.590% | 
 | 82   | Metagross          |  0.14015% | 855    |  0.852% | 368    |  0.795% | 
 | 83   | Sylveon            |  0.13697% | 1131   |  1.127% | 510    |  1.102% | 
 | 84   | Delphox            |  0.13378% | 929    |  0.925% | 461    |  0.996% | 
 | 85   | Drifblim           |  0.13240% | 948    |  0.944% | 395    |  0.853% | 
 | 86   | Decidueye-Hisui    |  0.13126% | 997    |  0.993% | 477    |  1.030% | 
 | 87   | Garganacl          |  0.11368% | 828    |  0.825% | 355    |  0.767% | 
 | 88   | Blastoise          |  0.10763% | 656    |  0.654% | 295    |  0.637% | 
 | 89   | Goodra-Hisui       |  0.10526% | 587    |  0.585% | 262    |  0.566% | 
 | 90   | Rotom-Wash         |  0.09159% | 785    |  0.782% | 349    |  0.754% | 
 | 91   | Gyarados           |  0.09003% | 1112   |  1.108% | 468    |  1.011% | 
 | 92   | Arboliva           |  0.08844% | 206    |  0.205% | 87     |  0.188% | 
 | 93   | Comfey             |  0.08781% | 301    |  0.300% | 128    |  0.276% | 
 | 94   | Breloom            |  0.08525% | 633    |  0.631% | 293    |  0.633% | 
 | 95   | Exeggutor          |  0.08228% | 697    |  0.694% | 261    |  0.564% | 
 | 96   | Cetitan            |  0.07928% | 191    |  0.190% | 72     |  0.156% | 
 | 97   | Clefairy           |  0.06951% | 1459   |  1.453% | 546    |  1.179% | 
 | 98   | Skeledirge         |  0.06868% | 841    |  0.838% | 348    |  0.752% | 
 | 99   | Tinkaton           |  0.06693% | 495    |  0.493% | 180    |  0.389% | 
 | 100  | Tauros-Paldea-Aqua |  0.06634% | 895    |  0.892% | 406    |  0.877% | 
 | 101  | Mimikyu            |  0.06210% | 531    |  0.529% | 209    |  0.451% | 
