 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Sneasler           | 46.68897% | 145955 | 34.878% | 73787  | 38.180% | 
 | 2    | Gholdengo          | 41.22630% | 118672 | 28.358% | 53763  | 27.819% | 
 | 3    | Incineroar         | 39.64595% | 137952 | 32.965% | 69294  | 35.855% | 
 | 4    | Dragonite          | 37.95410% | 102578 | 24.512% | 43434  | 22.474% | 
 | 5    | Rillaboom          | 36.64539% | 131105 | 31.329% | 62742  | 32.465% | 
 | 6    | Ursaluna-Bloodmoon | 24.41948% | 77671  | 18.561% | 43346  | 22.429% | 
 | 7    | Archaludon         | 22.04169% | 92418  | 22.085% | 49714  | 25.723% | 
 | 8    | Electabuzz         | 21.40956% | 55241  | 13.201% | 19740  | 10.214% | 
 | 9    | Ursaluna           | 19.31526% | 62225  | 14.870% | 33517  | 17.343% | 
 | 10   | Amoonguss          | 18.26347% | 71996  | 17.204% | 29572  | 15.301% | 
 | 11   | Pelipper           | 17.95538% | 73452  | 17.552% | 40472  | 20.941% | 
 | 12   | Kingambit          | 16.63956% | 78991  | 18.876% | 32192  | 16.657% | 
 | 13   | Annihilape         | 16.50093% | 72400  | 17.301% | 32657  | 16.898% | 
 | 14   | Volcarona          | 14.87262% | 53320  | 12.742% | 21855  | 11.308% | 
 | 15   | Basculegion        | 14.08227% | 53297  | 12.736% | 28875  | 14.941% | 
 | 16   | Talonflame         | 13.35413% | 36290  |  8.672% | 11364  |  5.880% | 
 | 17   | Indeedee           | 13.35108% | 41484  |  9.913% | 22018  | 11.393% | 
 | 18   | Porygon2           | 12.61560% | 44804  | 10.707% | 20213  | 10.459% | 
 | 19   | Dondozo            | 11.08260% | 30601  |  7.313% | 13894  |  7.189% | 
 | 20   | Primarina          | 10.71683% | 44257  | 10.576% | 20451  | 10.582% | 
 | 21   | Ninetales-Alola    | 10.08493% | 48524  | 11.595% | 22870  | 11.834% | 
 | 22   | Torkoal            |  8.48238% | 44916  | 10.733% | 27143  | 14.045% | 
 | 23   | Garchomp           |  7.83406% | 49730  | 11.884% | 24704  | 12.783% | 
 | 24   | Indeedee-F         |  7.51933% | 34346  |  8.207% | 16330  |  8.450% | 
 | 25   | Sinistcha          |  7.42343% | 28947  |  6.917% | 13164  |  6.811% | 
 | 26   | Tatsugiri          |  6.66779% | 14111  |  3.372% | 7336   |  3.796% | 
 | 27   | Dragapult          |  6.52204% | 31507  |  7.529% | 14804  |  7.660% | 
 | 28   | Maushold           |  6.26747% | 35050  |  8.376% | 13214  |  6.837% | 
 | 29   | Kommo-o            |  5.60010% | 15453  |  3.693% | 6400   |  3.312% | 
 | 30   | Hatterene          |  5.38740% | 12896  |  3.082% | 6555   |  3.392% | 
 | 31   | Tyranitar          |  5.01061% | 28822  |  6.887% | 16271  |  8.419% | 
 | 32   | Lilligant-Hisui    |  4.91113% | 9789   |  2.339% | 2850   |  1.475% | 
 | 33   | Magmar             |  4.87988% | 24912  |  5.953% | 10079  |  5.215% | 
 | 34   | Glimmora           |  4.52018% | 7937   |  1.897% | 3612   |  1.869% | 
 | 35   | Farigiraf          |  3.25059% | 26894  |  6.427% | 9561   |  4.947% | 
 | 36   | Corviknight        |  2.97975% | 19160  |  4.579% | 7532   |  3.897% | 
 | 37   | Gallade            |  2.93353% | 15371  |  3.673% | 6960   |  3.601% | 
 | 38   | Vivillon           |  2.60341% | 6785   |  1.621% | 2514   |  1.301% | 
 | 39   | Dusclops           |  2.55824% | 2919   |  0.698% | 927    |  0.480% | 
 | 40   | Kilowattrel        |  2.42656% | 9392   |  2.244% | 3243   |  1.678% | 
 | 41   | Grimmsnarl         |  2.41298% | 15826  |  3.782% | 5882   |  3.044% | 
 | 42   | Baxcalibur         |  2.36723% | 17785  |  4.250% | 8098   |  4.190% | 
 | 43   | Meowscarada        |  2.26703% | 7145   |  1.707% | 3269   |  1.691% | 
 | 44   | Whimsicott         |  2.24949% | 38286  |  9.149% | 13763  |  7.121% | 
 | 45   | Charizard          |  2.23180% | 19645  |  4.694% | 9430   |  4.879% | 
 | 46   | Jumpluff           |  1.95384% | 15715  |  3.755% | 5109   |  2.644% | 
 | 47   | Clefable           |  1.77613% | 9472   |  2.263% | 3601   |  1.863% | 
 | 48   | Murkrow            |  1.69484% | 16368  |  3.911% | 6087   |  3.150% | 
 | 49   | Excadrill          |  1.47042% | 10530  |  2.516% | 5370   |  2.779% | 
 | 50   | Gastrodon          |  1.25305% | 9561   |  2.285% | 3941   |  2.039% | 
 | 51   | Arcanine           |  1.24767% | 3301   |  0.789% | 1318   |  0.682% | 
 | 52   | Hydreigon          |  1.23395% | 12063  |  2.883% | 5909   |  3.057% | 
 | 53   | Delphox            |  1.22076% | 7588   |  1.813% | 3920   |  2.028% | 
 | 54   | Flamigo            |  1.20410% | 6364   |  1.521% | 2621   |  1.356% | 
 | 55   | Arcanine-Hisui     |  1.18158% | 8495   |  2.030% | 3976   |  2.057% | 
 | 56   | Tauros-Paldea-Aqua |  1.07995% | 6185   |  1.478% | 2748   |  1.422% | 
 | 57   | Armarouge          |  0.92022% | 11521  |  2.753% | 5582   |  2.888% | 
 | 58   | Milotic            |  0.89849% | 5173   |  1.236% | 1929   |  0.998% | 
 | 59   | Palafin            |  0.83508% | 7410   |  1.771% | 3497   |  1.809% | 
 | 60   | Samurott-Hisui     |  0.83239% | 4354   |  1.040% | 2218   |  1.148% | 
 | 61   | Weavile            |  0.75581% | 4562   |  1.090% | 2013   |  1.042% | 
 | 62   | Ceruledge          |  0.75487% | 5615   |  1.342% | 2340   |  1.211% | 
 | 63   | Typhlosion-Hisui   |  0.71288% | 23233  |  5.552% | 12364  |  6.397% | 
 | 64   | Garganacl          |  0.70144% | 3704   |  0.885% | 1668   |  0.863% | 
 | 65   | Klefki             |  0.69211% | 4995   |  1.194% | 1970   |  1.019% | 
 | 66   | Salamence          |  0.61356% | 5258   |  1.256% | 2413   |  1.249% | 
 | 67   | Greninja           |  0.50221% | 2157   |  0.515% | 864    |  0.447% | 
 | 68   | Mimikyu            |  0.45816% | 2892   |  0.691% | 1160   |  0.600% | 
 | 69   | Weezing-Galar      |  0.44435% | 8995   |  2.149% | 3878   |  2.007% | 
 | 70   | Sableye            |  0.43709% | 2656   |  0.635% | 1016   |  0.526% | 
 | 71   | Exeggutor          |  0.33505% | 4764   |  1.138% | 1824   |  0.944% | 
 | 72   | Pawmot             |  0.29969% | 4903   |  1.172% | 2236   |  1.157% | 
 | 73   | Smeargle           |  0.28808% | 3483   |  0.832% | 1473   |  0.762% | 
 | 74   | Gliscor            |  0.26793% | 3865   |  0.924% | 1707   |  0.883% | 
 | 75   | Sylveon            |  0.23374% | 5324   |  1.272% | 2416   |  1.250% | 
 | 76   | Yanmega            |  0.22682% | 2248   |  0.537% | 748    |  0.387% | 
 | 77   | Toedscruel         |  0.21467% | 5677   |  1.357% | 2491   |  1.289% | 
 | 78   | Zoroark-Hisui      |  0.19514% | 7137   |  1.705% | 1664   |  0.861% | 
