 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Kingambit          | 40.09885% | 148863 | 23.091% | 66174  | 22.131% | 
 | 2    | Gholdengo          | 37.54316% | 195831 | 30.377% | 89132  | 29.809% | 
 | 3    | Rillaboom          | 34.63562% | 209469 | 32.492% | 102898 | 34.413% | 
 | 4    | Incineroar         | 31.65735% | 184583 | 28.632% | 87656  | 29.315% | 
 | 5    | Primarina          | 29.92324% | 147611 | 22.897% | 66840  | 22.354% | 
 | 6    | Amoonguss          | 29.73403% | 154136 | 23.909% | 69058  | 23.096% | 
 | 7    | Sneasler           | 28.99673% | 99250  | 15.395% | 52032  | 17.401% | 
 | 8    | Dragonite          | 21.98752% | 72097  | 11.184% | 33510  | 11.207% | 
 | 9    | Garchomp           | 20.09571% | 79450  | 12.324% | 41161  | 13.766% | 
 | 10   | Archaludon         | 18.14690% | 119866 | 18.593% | 66676  | 22.299% | 
 | 11   | Porygon2           | 16.52672% | 57650  |  8.943% | 30505  | 10.202% | 
 | 12   | Electabuzz         | 16.17098% | 51565  |  7.999% | 22120  |  7.398% | 
 | 13   | Volcarona          | 13.77194% | 82971  | 12.870% | 33486  | 11.199% | 
 | 14   | Dondozo            | 12.60277% | 39901  |  6.189% | 19872  |  6.646% | 
 | 15   | Basculegion        | 11.74769% | 71953  | 11.161% | 37799  | 12.641% | 
 | 16   | Pelipper           | 11.50894% | 102657 | 15.924% | 57104  | 19.098% | 
 | 17   | Dragapult          | 10.17883% | 66319  | 10.287% | 32141  | 10.749% | 
 | 18   | Ursaluna           | 10.17140% | 74771  | 11.598% | 40739  | 13.625% | 
 | 19   | Tyranitar          | 10.08144% | 77708  | 12.054% | 39981  | 13.371% | 
 | 20   | Talonflame         |  9.93617% | 67579  | 10.483% | 23268  |  7.782% | 
 | 21   | Glimmora           |  9.12488% | 38839  |  6.025% | 18145  |  6.068% | 
 | 22   | Tatsugiri          |  8.83310% | 34796  |  5.397% | 19534  |  6.533% | 
 | 23   | Annihilape         |  8.47656% | 79925  | 12.398% | 37325  | 12.483% | 
 | 24   | Ursaluna-Bloodmoon |  8.34494% | 95135  | 14.757% | 52748  | 17.641% | 
 | 25   | Maushold           |  7.69687% | 70015  | 10.861% | 28337  |  9.477% | 
 | 26   | Clefable           |  7.46461% | 47998  |  7.445% | 21542  |  7.204% | 
 | 27   | Whimsicott         |  7.09550% | 85313  | 13.234% | 30917  | 10.340% | 
 | 28   | Vivillon           |  6.10238% | 10885  |  1.688% | 4160   |  1.391% | 
 | 29   | Indeedee-F         |  6.04964% | 75469  | 11.707% | 34656  | 11.590% | 
 | 30   | Salamence          |  6.03809% | 26411  |  4.097% | 10568  |  3.534% | 
 | 31   | Ninetales-Alola    |  5.96980% | 30923  |  4.797% | 14238  |  4.762% | 
 | 32   | Pawmot             |  5.56484% | 21114  |  3.275% | 10286  |  3.440% | 
 | 33   | Murkrow            |  5.13880% | 37876  |  5.875% | 14106  |  4.718% | 
 | 34   | Tauros-Paldea-Blaze |  4.97325% | 12197  |  1.892% | 5588   |  1.869% | 
 | 35   | Hydreigon          |  4.80979% | 36768  |  5.703% | 16229  |  5.428% | 
 | 36   | Tauros-Paldea-Aqua |  4.56664% | 33122  |  5.138% | 14056  |  4.701% | 
 | 37   | Typhlosion-Hisui   |  3.57530% | 50743  |  7.871% | 27273  |  9.121% | 
 | 38   | Farigiraf          |  3.52353% | 59421  |  9.217% | 19973  |  6.680% | 
 | 39   | Torkoal            |  3.32896% | 47899  |  7.430% | 27190  |  9.093% | 
 | 40   | Flamigo            |  3.09580% | 20591  |  3.194% | 8841   |  2.957% | 
 | 41   | Armarouge          |  2.93349% | 32589  |  5.055% | 16116  |  5.390% | 
 | 42   | Corviknight        |  2.93329% | 16469  |  2.555% | 6347   |  2.123% | 
 | 43   | Palafin            |  2.88644% | 25087  |  3.891% | 11776  |  3.938% | 
 | 44   | Gallade            |  2.79852% | 37104  |  5.756% | 17889  |  5.983% | 
 | 45   | Magmar             |  2.65879% | 7072   |  1.097% | 2991   |  1.000% | 
 | 46   | Gengar             |  2.36020% | 15488  |  2.402% | 6223   |  2.081% | 
 | 47   | Kommo-o            |  2.32319% | 21139  |  3.279% | 8634   |  2.888% | 
 | 48   | Grimmsnarl         |  2.12254% | 24132  |  3.743% | 9212   |  3.081% | 
 | 49   | Indeedee           |  2.10413% | 11921  |  1.849% | 6307   |  2.109% | 
 | 50   | Sinistcha          |  2.00338% | 34514  |  5.354% | 16081  |  5.378% | 
 | 51   | Hatterene          |  1.93544% | 20282  |  3.146% | 9997   |  3.343% | 
 | 52   | Gastrodon          |  1.85829% | 20487  |  3.178% | 8308   |  2.779% | 
 | 53   | Zoroark-Hisui      |  1.77187% | 16569  |  2.570% | 4095   |  1.370% | 
 | 54   | Weezing-Galar      |  1.71171% | 14528  |  2.254% | 6528   |  2.183% | 
 | 55   | Garganacl          |  1.69135% | 6381   |  0.990% | 2984   |  0.998% | 
 | 56   | Lilligant-Hisui    |  1.66720% | 22375  |  3.471% | 6205   |  2.075% | 
 | 57   | Meowscarada        |  1.62378% | 20245  |  3.140% | 9531   |  3.188% | 
 | 58   | Chandelure         |  1.43967% | 7754   |  1.203% | 3485   |  1.166% | 
 | 59   | Arcanine-Hisui     |  1.42063% | 24451  |  3.793% | 11454  |  3.831% | 
 | 60   | Sylveon            |  1.36797% | 10654  |  1.653% | 5001   |  1.673% | 
 | 61   | Decidueye-Hisui    |  1.28563% | 19291  |  2.992% | 9026   |  3.019% | 
 | 62   | Delphox            |  1.10684% | 7962   |  1.235% | 4043   |  1.352% | 
 | 63   | Toedscruel         |  1.04434% | 8899   |  1.380% | 3572   |  1.195% | 
 | 64   | Ceruledge          |  1.02523% | 7943   |  1.232% | 3533   |  1.182% | 
 | 65   | Ribombee           |  0.86588% | 4915   |  0.762% | 1528   |  0.511% | 
 | 66   | Milotic            |  0.86411% | 8931   |  1.385% | 3406   |  1.139% | 
 | 67   | Gyarados           |  0.83724% | 9946   |  1.543% | 4045   |  1.353% | 
 | 68   | Weezing            |  0.78510% | 9426   |  1.462% | 3647   |  1.220% | 
 | 69   | Excadrill          |  0.76514% | 15387  |  2.387% | 7571   |  2.532% | 
 | 70   | Lycanroc           |  0.73390% | 3489   |  0.541% | 1401   |  0.469% | 
 | 71   | Quaquaval          |  0.72288% | 4090   |  0.634% | 1898   |  0.635% | 
 | 72   | Baxcalibur         |  0.67101% | 11863  |  1.840% | 5081   |  1.699% | 
 | 73   | Gothitelle         |  0.63744% | 9654   |  1.498% | 3707   |  1.240% | 
 | 74   | Dusclops           |  0.56247% | 5061   |  0.785% | 1984   |  0.664% | 
 | 75   | Clefairy           |  0.46010% | 11860  |  1.840% | 4890   |  1.635% | 
 | 76   | Breloom            |  0.40714% | 3484   |  0.540% | 1679   |  0.562% | 
 | 77   | Politoed           |  0.33791% | 7732   |  1.199% | 3980   |  1.331% | 
 | 78   | Blaziken           |  0.33496% | 6228   |  0.966% | 2874   |  0.961% | 
 | 79   | Samurott-Hisui     |  0.31603% | 5965   |  0.925% | 2962   |  0.991% | 
 | 80   | Smeargle           |  0.30306% | 5659   |  0.878% | 2428   |  0.812% | 
 | 81   | Brambleghast       |  0.29773% | 3606   |  0.559% | 1568   |  0.524% | 
 | 82   | Tsareena           |  0.29650% | 4858   |  0.754% | 1956   |  0.654% | 
 | 83   | Gardevoir          |  0.29642% | 6721   |  1.043% | 2731   |  0.913% | 
 | 84   | Stonjourner        |  0.27859% | 1265   |  0.196% | 525    |  0.176% | 
 | 85   | Skeledirge         |  0.27716% | 4878   |  0.757% | 2411   |  0.806% | 
 | 86   | Weavile            |  0.25986% | 2468   |  0.383% | 1014   |  0.339% | 
 | 87   | Kilowattrel        |  0.24573% | 5702   |  0.884% | 2314   |  0.774% | 
 | 88   | Kleavor            |  0.23420% | 3502   |  0.543% | 1509   |  0.505% | 
