Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/9b127109fe651b47,incineroar,rillaboom,volcarona,ninetales-alola,sneasler,ursaluna-bloodmoon
2,325,https://pokepast.es/223f891d4cf45bb6,incineroar,porygon2,flamigo,rotom [wash rotom],ursaluna,gholdengo
3,300,https://pokepast.es/ea0ff58d1825b4cc,incineroar,rillaboom,dragonite,annihilape,ursaluna-bloodmoon,gholdengo
4,300,https://pokepast.es/475ef7162437d4a9,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
5,280,https://pokepast.es/4525c7c9bf5909c5,rillaboom,volcarona,basculegion-male,dragonite,maushold-family-of-four,gholdengo
6,280,https://pokepast.es/4d79072e77761e7c,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
7,280,https://pokepast.es/ea8846dd422688d3,incineroar,rillaboom,volcarona,amoonguss,dragapult,kingambit
8,280,https://pokepast.es/efbe82404b3f9a04,incineroar,whimsicott,pelipper,basculegion-male,archaludon,gholdengo
9,200,https://pokepast.es/9560d3835ca1dd48,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
10,200,https://pokepast.es/a16dd05f0f419c7c,torkoal,annihilape,armarouge,hatterene,indeedee-female,dragapult
11,200,https://pokepast.es/bd2a4dffb2a8f3d8,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
12,200,https://pokepast.es/26c419fc6e48cf8f,murkrow,dragonite,annihilape,indeedee-male,sneasler,gholdengo
13,200,https://pokepast.es/6c9712adcd727038,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
14,200,https://pokepast.es/18ce3b0f2219b61b,murkrow,dragonite,dondozo,tatsugiri-curly,gholdengo,kingambit
15,200,https://pokepast.es/863b7d6fe145ecc0,incineroar,dragonite,annihilape,archaludon,ninetales-alola,gholdengo
16,200,https://pokepast.es/ffeb3079b1e99398,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
17,160,https://pokepast.es/351130abe68d5e44,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
18,160,https://pokepast.es/03bfb48eb4b01d6e,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
19,160,https://pokepast.es/a8988c1ee7a8232c,incineroar,dragonite,ninetales-alola,sinistcha,ursaluna-bloodmoon,kingambit
20,160,https://pokepast.es/5bdbd4ceaabcfaff,rillaboom,dragonite,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
21,160,https://pokepast.es/b01e295a3af6ee67,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
22,160,https://pokepast.es/349d1dc32582dbdf,arcanine-hisui,hydreigon,espathra,indeedee-female,sneasler,kingambit
23,160,https://pokepast.es/9a134977f4061a2a,rillaboom,arcanine-hisui,dragonite,annihilape,ninetales-alola,gholdengo
24,160,https://pokepast.es/2286e4553f2830ef,rillaboom,basculegion-male,electabuzz,hydreigon,sneasler,kingambit
25,160,https://pokepast.es/5a879e7033981765,rillaboom,dragonite,annihilape,magmar,ursaluna-bloodmoon,gholdengo
26,160,https://pokepast.es/d29e48437154c9ed,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
27,160,https://pokepast.es/867918ebc6f48b46,incineroar,rillaboom,dragonite,annihilape,maushold-family-of-four,gholdengo
28,160,https://pokepast.es/9be44436b14029be,whimsicott,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon,gholdengo
29,160,https://pokepast.es/720bb253301cdbf8,pelipper,basculegion-male,dragonite,archaludon,ursaluna,sinistcha
30,160,https://pokepast.es/986b5333c2c37a90,talonflame,basculegion-male,amoonguss,hydreigon,sneasler,gholdengo
31,160,https://pokepast.es/81c6a4757903646c,blaziken,rillaboom,primarina,electabuzz,baxcalibur,kingambit
32,160,https://pokepast.es/33f90ed1fb62b354,rillaboom,murkrow,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon
33,120,https://pokepast.es/db98c40dd92872d3,garchomp,dondozo,tatsugiri-curly,glimmora,vivillon,kingambit
34,120,https://pokepast.es/cc7a48535ed5d8ae,volcarona,tyranitar,lycanroc [midday form],dragonite,annihilape,archaludon
35,120,https://pokepast.es/abe197decfde991d,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
36,120,https://pokepast.es/3c1799193fabe6bc,incineroar,whimsicott,pelipper,basculegion-male,archaludon,gholdengo
