Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/88bb3d43ad9b874d,incineroar,porygon2,pelipper,archaludon,ursaluna,amoonguss
2,325,https://pokepast.es/60f2fed713ecf85e,incineroar,rillaboom,volcarona,dragonite,gastrodon,sneasler
3,300,https://pokepast.es/fc087a6fd8bc2eeb,torkoal,lilligant-hisui,ursaluna,meowstic [male],armarouge,indeedee-female
4,300,https://pokepast.es/6196296bf0ac117b,incineroar,whimsicott,dragonite,annihilape,ursaluna-bloodmoon,gholdengo
5,280,https://pokepast.es/2639d792257d4954,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
6,280,https://pokepast.es/d52fb07c76616b9f,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
7,280,https://pokepast.es/54d9ea86982285f2,incineroar,porygon2,ursaluna,amoonguss,sneasler,gholdengo
8,280,https://pokepast.es/d0c5818c10ea9082,incineroar,dragonite,clefairy,sneasler,ursaluna-bloodmoon,gholdengo
9,160,https://pokepast.es/848d39c8f06fa1c9,talonflame,dragonite,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
10,160,https://pokepast.es/12717c37d3235371,incineroar,porygon2,vivillon,ursaluna,sneasler,gholdengo
11,160,https://pokepast.es/a87bf40889047332,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
12,160,https://pokepast.es/f2cef3fb51b9b8c3,rillaboom,ceruledge,dragonite,clefable,sneasler,kingambit
13,160,https://pokepast.es/05ee2bd7e6f43602,volcarona,basculegion-male,clefable,baxcalibur,sneasler,kingambit
14,160,https://pokepast.es/6b8b59e3791a7db2,rillaboom,volcarona,basculegion-male,sneasler,kommo-o,kingambit
15,160,https://pokepast.es/7495f49c041afc0b,torkoal,lilligant-hisui,ursaluna,armarouge,gallade,indeedee-female
16,160,https://pokepast.es/335e778dffe1bf90,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
