Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/59f762908356512c,garchomp,whimsicott,annihilape,clefable,hydreigon,gholdengo
2,325,https://pokepast.es/1044a46357837cbd,incineroar,garchomp,porygon2,amoonguss,sneasler,gholdengo
3,300,https://pokepast.es/671661a63a9fc1c9,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
4,300,https://pokepast.es/d14685abc4dedb45,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
5,280,https://pokepast.es/33632e065bfc14fa,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
6,280,https://pokepast.es/164d2d9a8678cff9,volcarona,toxtricity [amped form],hydreigon,drifblim,indeedee-male,kommo-o
7,280,https://pokepast.es/a52d1a26e000345d,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
8,280,https://pokepast.es/09375286f3dd1cf6,rillaboom,salamence,primarina,magmar,sneasler,kingambit
9,160,https://pokepast.es/f97f453299bda912,rillaboom,dondozo,magmar,sneasler,dragapult,kingambit
10,160,https://pokepast.es/af0c783bb40f094d,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
11,160,https://pokepast.es/cdb40d9ebf08d95d,rillaboom,archaludon,vivillon,sneasler,dragapult,kingambit
12,160,https://pokepast.es/336098557ee44837,rillaboom,basculegion-male,electabuzz,ninetales-alola,kommo-o,kingambit
13,160,https://pokepast.es/96e56e10110fc231,incineroar,basculegion-male,flamigo,amoonguss,ursaluna-bloodmoon,farigiraf
14,160,https://pokepast.es/c206bf0cb76dd075,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
15,160,https://pokepast.es/7e08238f8cc8e6c9,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
16,160,https://pokepast.es/9726b0d1d9730a6e,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
17,125,https://pokepast.es/c76ec8d3a3d7800f,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
18,125,https://pokepast.es/6bd85cea3d4a9156,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
19,125,https://pokepast.es/6b9e3a9f06b4f86a,incineroar,whimsicott,dragonite,annihilape,maushold-family-of-four,gholdengo
20,125,https://pokepast.es/f3ceb83c6f9aa38f,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
21,125,https://pokepast.es/2adfb6533373dd2a,whimsicott,basculegion-male,maushold-family-of-four,delphox,indeedee-male,sneasler
22,125,https://pokepast.es/cb8435bcd834acd5,incineroar,garchomp,porygon2,gastrodon,vivillon,gholdengo
23,125,https://pokepast.es/10c1d267f05b7795,rillaboom,dragonite,primarina,electabuzz,sneasler,kingambit
24,125,https://pokepast.es/538d0109bc689345,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
25,125,https://pokepast.es/d3b2dcb439ab0518,incineroar,pelipper,basculegion-male,archaludon,amoonguss,kingambit
26,125,https://pokepast.es/1160cb27b8533817,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
27,125,https://pokepast.es/b37f1f868314672b,garchomp,whimsicott,annihilape,clefable,hydreigon,gholdengo
28,125,https://pokepast.es/637396e18a594b59,talonflame,garchomp,dragonite,primarina,vivillon,gholdengo
29,125,https://pokepast.es/f33c879e1e0f2c49,pelipper,basculegion-male,annihilape,maushold-family-of-four,archaludon,sinistcha
30,125,https://pokepast.es/8ab0b6000262dd2b,salamence,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
31,125,https://pokepast.es/dc2a1b4b02afeea3,tyranitar,excadrill,primarina,magmar,sinistcha,kommo-o
32,125,https://pokepast.es/fdacdc3efe42975b,zoroark-hisui,amoonguss,armarouge,indeedee-female,sneasler,ursaluna-bloodmoon
33,100,https://pokepast.es/67113604bac91895,rillaboom,dondozo,tatsugiri-curly,annihilape,glimmora,kingambit
34,100,https://pokepast.es/fedde8cd7afae0be,incineroar,garchomp,corviknight,kilowattrel,weezing-galar,gallade
35,100,https://pokepast.es/7c26246a41fabb1b,typhlosion-hisui,garchomp,corviknight,kilowattrel,weezing-galar,toedscruel
36,100,https://pokepast.es/bc9a67ddaa95888d,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
37,100,https://pokepast.es/cadf85b517a1b3a0,garchomp,tauros [paldean form - blaze breed],primarina,annihilape,vivillon,kingambit
38,100,https://pokepast.es/aa5099895e443473,incineroar,whimsicott,basculegion-male,electabuzz,sneasler,ursaluna-bloodmoon
39,100,https://pokepast.es/2f9cbbca7ab81428,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
40,100,https://pokepast.es/c1657b5f441b29af,incineroar,tyranitar,porygon2,ursaluna,amoonguss,gholdengo
41,100,https://pokepast.es/a07571cf44bd31a6,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
42,100,https://pokepast.es/7843bdee62a0609a,incineroar,rillaboom,primarina,annihilape,maushold-family-of-four,gholdengo
43,100,https://pokepast.es/d07249c1ee4b9e4f,rillaboom,dondozo,magmar,sneasler,dragapult,kingambit
44,100,https://pokepast.es/7fdfb21fa4e85e9e,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
45,100,https://pokepast.es/cd247fce40deb0ee,rillaboom,primarina,zoroark-hisui,electabuzz,sneasler,kingambit
46,100,https://pokepast.es/9ca0620226a92100,typhlosion-hisui,decidueye-hisui,whimsicott,indeedee-male,sneasler,dragapult
47,100,https://pokepast.es/e834524b101d5524,incineroar,garchomp,primarina,archaludon,vivillon,kingambit
48,100,https://pokepast.es/b8d59e50c8898e35,rillaboom,dragonite,primarina,magmar,sneasler,kingambit
49,100,https://pokepast.es/e4b2eaf83979e79c,rillaboom,dondozo,magmar,sneasler,dragapult,kingambit
50,100,https://pokepast.es/b4f957a156027850,rillaboom,volcarona,ninetales-alola,sneasler,gholdengo,dragapult
51,100,https://pokepast.es/ca95fa3bada9297d,decidueye-hisui,pelipper,basculegion-male,archaludon,clefairy,ursaluna-bloodmoon
52,100,https://pokepast.es/197c9d5ab6786d5c,rillaboom,dragonite,primarina,electabuzz,sneasler,kingambit
53,100,https://pokepast.es/93280783fe03c36e,typhlosion-hisui,rillaboom,whimsicott,annihilape,ursaluna-bloodmoon,farigiraf
54,100,https://pokepast.es/2949c6e4490087a5,garchomp,whimsicott,annihilape,clefable,hydreigon,gholdengo
55,100,https://pokepast.es/8a94c196fbdb82e7,typhlosion-hisui,rillaboom,primarina,electabuzz,sneasler,kingambit
56,100,https://pokepast.es/d2403eff1452deb3,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
57,100,https://pokepast.es/865fa10e4b6c3438,typhlosion-hisui,rillaboom,torkoal,jumpluff,ursaluna-bloodmoon,farigiraf
58,100,https://pokepast.es/402808b9ee064bdf,rillaboom,basculegion-male,electabuzz,ninetales-alola,kommo-o,kingambit
59,100,https://pokepast.es/5cd3d47b1ee9da7d,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
60,100,https://pokepast.es/3669be9a1f90ac2d,garchomp,corviknight,porygon2,gastrodon,ninetales-alola,gengar
61,100,https://pokepast.es/bd0bf414b588c60c,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
62,100,https://pokepast.es/aebb44db6f16aefe,incineroar,primarina,amoonguss,ursaluna-bloodmoon,dragapult,farigiraf
63,100,https://pokepast.es/943dd7693154f744,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
64,100,https://pokepast.es/4701484637e1cd72,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
65,80,https://pokepast.es/f4c2a246ef6145d0,garchomp,dragonite,primarina,amoonguss,sneasler,kingambit
66,80,https://pokepast.es/2e5c88f082f5576d,rillaboom,dragonite,dondozo,electabuzz,sneasler,kingambit
67,80,https://pokepast.es/0633e96e0734e053,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
68,80,https://pokepast.es/98a8f2427c285915,incineroar,rillaboom,primarina,annihilape,maushold-family-of-four,gholdengo
69,80,https://pokepast.es/b8afb3ffafe85f22,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
70,80,https://pokepast.es/5a879ca5531cc2e6,rillaboom,dondozo,magmar,sneasler,dragapult,kingambit
71,80,https://pokepast.es/bb86a7f3b9246ffd,annihilape,maushold-family-of-four,archaludon,sableye,sinistcha,dudunsparce
72,80,https://pokepast.es/8376bd7cab8adead,incineroar,rillaboom,politoed,basculegion-male,gothitelle,archaludon
73,80,https://pokepast.es/add013c4686a6c5c,rillaboom,volcarona,primarina,electabuzz,sneasler,kingambit
74,80,https://pokepast.es/6104d41f5eb57dc6,salamence,pelipper,basculegion-male,archaludon,amoonguss,kingambit
75,80,https://pokepast.es/954802c653e57323,volcarona,tyranitar,excadrill,dragonite,primarina,sinistcha
76,80,https://pokepast.es/974c4efc5875378d,arcanine-hisui,decidueye-hisui,whimsicott,annihilape,overqwil,hydreigon
77,80,https://pokepast.es/e39395448f67ef8f,rillaboom,volcarona,dondozo,clefable,sneasler,kingambit
78,80,https://pokepast.es/cb13b5f4d3792380,torkoal,maushold-family-of-four,ursaluna,gallade,hatterene,indeedee-female
79,80,https://pokepast.es/2bc6577576217f3e,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
80,80,https://pokepast.es/4d14f8c0d8d9f4c0,torkoal,lilligant-hisui,ursaluna,gallade,armarouge,indeedee-female
81,80,https://pokepast.es/6b806bd6572ec037,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
82,80,https://pokepast.es/812ac32787446ea1,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
83,80,https://pokepast.es/9e35e21df2caae98,rillaboom,volcarona,tyranitar,excadrill,primarina,kommo-o
84,80,https://pokepast.es/235af6eae940405c,torkoal,lilligant-hisui,ursaluna,gallade,hatterene,indeedee-female
85,80,https://pokepast.es/c60a376ad7c0b263,incineroar,porygon2,scyther,ursaluna,amoonguss,gholdengo
86,80,https://pokepast.es/996c94300955bf7d,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
87,80,https://pokepast.es/2566c49740d1c121,volcarona,archaludon,espathra,indeedee-female,sneasler,dragapult
88,80,https://pokepast.es/ea6b23bca6215ca8,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
89,80,https://pokepast.es/4ec52479ec17401c,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
90,80,https://pokepast.es/a054b813dca481cc,typhlosion-hisui,decidueye-hisui,whimsicott,indeedee-male,sneasler,dragapult
91,80,https://pokepast.es/6ffb9fe58b142993,incineroar,rillaboom,clefable,sneasler,kommo-o,gholdengo
92,80,https://pokepast.es/1c7eeaca2072dbe3,pelipper,basculegion-male,archaludon,gallade,espeon,indeedee-female
93,80,https://pokepast.es/0c506809f342286f,torkoal,porygon2,ursaluna,gallade,hatterene,indeedee-female
94,80,https://pokepast.es/b191484a5df0ba92,incineroar,rillaboom,whimsicott,primarina,ursaluna-bloodmoon,gholdengo
95,80,https://pokepast.es/5ca87d405b5a8680,decidueye-hisui,primarina,pelipper,annihilape,archaludon,sinistcha
96,80,https://pokepast.es/b1fbbee704df30d9,incineroar,rillaboom,tauros-paldea-aqua-breed,clefable,hydreigon,gholdengo
97,80,https://pokepast.es/0070956c9ca7a426,rillaboom,pelipper,basculegion-male,archaludon,sneasler,dragapult
98,80,https://pokepast.es/f19d907528e76bc4,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
99,80,https://pokepast.es/2a6567b849faf2ed,typhlosion-hisui,garchomp,murkrow,dragonite,pawmot,farigiraf
100,80,https://pokepast.es/d8066a1ee103f483,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
101,80,https://pokepast.es/121cf604b090f1bf,incineroar,dondozo,tatsugiri-curly,glimmora,ninetales-alola,frosmoth
102,80,https://pokepast.es/33fef268da3e5658,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
103,80,https://pokepast.es/180545c9b87c3dc0,dragonite,annihilape,froslass,ursaluna-bloodmoon,farigiraf,kingambit
104,80,https://pokepast.es/130e2a19c92c0c90,rillaboom,volcarona,dondozo,ribombee,glimmora,kingambit
105,80,https://pokepast.es/73b2c490438130c2,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
106,80,https://pokepast.es/496b9332db886048,volcarona,tyranitar,porygon2,annihilape,ursaluna,grimmsnarl
107,80,https://pokepast.es/3ab47eec64e86f1a,scrafty,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
108,80,https://pokepast.es/be8fb15ecb33a97f,incineroar,porygon2,amoonguss,sneasler,ursaluna-bloodmoon,dragapult
109,80,https://pokepast.es/aab2a9a036d2da51,rillaboom,volcarona,electabuzz,inteleon,sneasler,kingambit
110,80,https://pokepast.es/84dddc96e04c2468,incineroar,tyranitar,gastrodon,sinistcha,kommo-o,gholdengo
111,80,https://pokepast.es/a435d35b54bc2ba3,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
112,80,https://pokepast.es/c58c655203552a5a,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
113,80,https://pokepast.es/66d5844a83b3cf1d,torkoal,annihilape,ursaluna,armarouge,hatterene,indeedee-female
114,80,https://pokepast.es/7a49be94b39589bd,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha,grimmsnarl
115,80,https://pokepast.es/27a3a38500a4d7a3,incineroar,garchomp,whimsicott,dragonite,amoonguss,gholdengo
116,80,https://pokepast.es/676efc1457d251e9,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
117,80,https://pokepast.es/48b90fb284acba0f,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
118,80,https://pokepast.es/0b0b7931ceb7d436,incineroar,garchomp,whimsicott,dragonite,amoonguss,gholdengo
119,80,https://pokepast.es/c528d1b7a5afc930,incineroar,tyranitar,whimsicott,annihilape,electabuzz,ursaluna-bloodmoon
120,80,https://pokepast.es/f4a6e4e1dcc57293,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
121,80,https://pokepast.es/db710e32a813b195,politoed,basculegion-male,archaludon,braviary-hisui,indeedee-female,sneasler
122,80,https://pokepast.es/f9a0b9c60402b4f4,talonflame,dondozo,tatsugiri-curly,glimmora,breloom,gholdengo
123,80,https://pokepast.es/7d171b3f046de29f,rillaboom,arcanine-hisui,volcarona,palafin,annihilape,ninetales-alola
124,80,https://pokepast.es/eb24eaffd35ebad7,rillaboom,dondozo,tatsugiri-curly,annihilape,maushold-family-of-four,glimmora
125,80,https://pokepast.es/53d796edf0c6ed26,whimsicott,basculegion-male,maushold-family-of-four,delphox,indeedee-male,sneasler
126,80,https://pokepast.es/528b4542718df8c8,incineroar,garchomp,corviknight,weezing,pawmot,gardevoir
127,80,https://pokepast.es/ee476e70fd4e8ab7,rillaboom,volcarona,primarina,electabuzz,sneasler,kingambit
128,80,https://pokepast.es/3d12a093e6c4bdc7,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
129,60,https://pokepast.es/e3443b11037bab8f,tauros [paldean form - blaze breed],tyranitar,dragonite,milotic,amoonguss,gholdengo
130,60,https://pokepast.es/6661bc6d670d45d1,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
131,60,https://pokepast.es/e884da369a575457,zoroark-hisui,amoonguss,armarouge,indeedee-female,sneasler,ursaluna-bloodmoon
