Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,500,https://pokepast.es/99895cbea94bca11,incineroar,typhlosion-hisui,whimsicott,flamigo,ursaluna-bloodmoon,farigiraf
2,480,https://pokepast.es/41a4117b37b94655,incineroar,rillaboom,dragonite,sneasler,ursaluna-bloodmoon,gholdengo
3,420,https://pokepast.es/6988be2dc89f4d0d,incineroar,pelipper,archaludon,sinistcha,ursaluna-bloodmoon,farigiraf
4,420,https://pokepast.es/36e31e95d9625fc4,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
5,380,https://pokepast.es/fcfc015df46bb68f,incineroar,torkoal,venusaur,dragonite,annihilape,dusclops
6,380,https://pokepast.es/7a6366e5dd72cdb3,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
7,380,https://pokepast.es/990785945eb7bc98,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
8,380,https://pokepast.es/a670d25078a5adc0,incineroar,rillaboom,volcarona,politoed,basculegion-male,ninetales-alola
9,300,https://pokepast.es/be3a0260e5fcfdef,incineroar,pelipper,basculegion-male,dragonite,archaludon,farigiraf
10,300,https://pokepast.es/1c6e22d1610f3248,volcarona,dragonite,dondozo,tatsugiri-curly,annihilape,archaludon
11,300,https://pokepast.es/4d8e0766e2c48f8a,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
12,300,https://pokepast.es/503588d8a8320f98,garchomp,corviknight,tyranitar,archaludon,indeedee-male,sneasler
13,300,https://pokepast.es/22ae348ae50725b7,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
14,300,https://pokepast.es/572d68bf1db0eb8e,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
15,300,https://pokepast.es/e181a54e11e70e63,incineroar,dragonite,ribombee,kommo-o,ursaluna-bloodmoon,gholdengo
16,300,https://pokepast.es/92ab15c451629728,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
17,240,https://pokepast.es/8c2671c2913d334b,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
18,240,https://pokepast.es/38b122e9110252a3,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
19,240,https://pokepast.es/4b3d959b1ec20eba,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
20,240,https://pokepast.es/9bbec577019e1119,incineroar,pelipper,dragonite,archaludon,ursaluna,sinistcha
21,240,https://pokepast.es/0ffabc5ba2bdb7e2,incineroar,typhlosion-hisui,torkoal,lilligant-hisui,annihilape,farigiraf
22,240,https://pokepast.es/4247b5bb08bee6fb,incineroar,whimsicott,pelipper,basculegion-male,archaludon,gholdengo
23,240,https://pokepast.es/96186eb5feae1cfd,incineroar,porygon2,basculegion-male,ursaluna,amoonguss,gholdengo
24,240,https://pokepast.es/c5d27401d5b30bd0,incineroar,torkoal,lilligant-hisui,hatterene,indeedee-female,farigiraf
25,240,https://pokepast.es/3a9c3fccb9cbfa2c,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
26,240,https://pokepast.es/9a0dbd18f15a292e,rillaboom,arcanine-hisui,volcarona,baxcalibur,sneasler,kingambit
27,240,https://pokepast.es/4cb72727c9a13934,incineroar,typhlosion-hisui,whimsicott,dragonite,ursaluna-bloodmoon,farigiraf
28,240,https://pokepast.es/e1643dcf9e7dbfdf,incineroar,rillaboom,dragonite,sneasler,ursaluna-bloodmoon,gholdengo
29,240,https://pokepast.es/cad289cece5adfb2,corviknight,tyranitar,excadrill,sinistcha,indeedee-male,kommo-o
30,240,https://pokepast.es/d3c0dca73e28a33f,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
31,240,https://pokepast.es/45a875de9ce17c26,incineroar,tyranitar,whimsicott,annihilape,maushold-family-of-four,gholdengo
32,240,https://pokepast.es/be7fa10305510d13,incineroar,typhlosion-hisui,whimsicott,annihilape,ursaluna-bloodmoon,farigiraf
33,180,https://pokepast.es/cbc1b5678b7df029,rillaboom,arcanine-hisui,maushold-family-of-four,kilowattrel,ursaluna-bloodmoon,gholdengo
34,180,https://pokepast.es/a16003020b91b4b0,incineroar,annihilape,maushold-family-of-four,sinistcha,ursaluna-bloodmoon,dusclops
35,180,https://pokepast.es/a1aa8741128740bf,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
36,180,https://pokepast.es/c60351fb5d59fed3,incineroar,rillaboom,volcarona,dragonite,ursaluna-bloodmoon,gholdengo
37,180,https://pokepast.es/10780f2c0b234ede,incineroar,torkoal,lilligant-hisui,hatterene,indeedee-female,farigiraf
38,180,https://pokepast.es/0ad2291a38db5941,incineroar,rillaboom,volcarona,basculegion-male,glimmora,ursaluna-bloodmoon
39,180,https://pokepast.es/fa8999334d6d4a92,incineroar,mamoswine,dragonite,kilowattrel,ninetales-alola,gholdengo
40,180,https://pokepast.es/fd59e52fe6812806,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
41,180,https://pokepast.es/ad089c7bb7d14ae3,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
42,180,https://pokepast.es/9501d576a9435015,incineroar,torkoal,lilligant-hisui,hatterene,indeedee-female,farigiraf
43,180,https://pokepast.es/8680792e389833bc,tyranitar,excadrill,annihilape,maushold-family-of-four,indeedee-male,sneasler
44,180,https://pokepast.es/672802aec58e60a9,incineroar,typhlosion-hisui,rillaboom,whimsicott,ursaluna-bloodmoon,farigiraf
45,180,https://pokepast.es/e19463e438f74a95,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
46,180,https://pokepast.es/56274ae9dc1ca8c5,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
47,180,https://pokepast.es/50229a21b3fbb8e4,murkrow,annihilape,sinistcha,indeedee-male,sneasler,gholdengo
48,180,https://pokepast.es/b23bf0e9b5cc81b3,incineroar,garchomp,whimsicott,dragonite,gholdengo,kingambit
49,180,https://pokepast.es/bd6d0e92bed0aa5d,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
50,180,https://pokepast.es/30d51c248ad8e0fb,rillaboom,murkrow,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon
51,180,https://pokepast.es/5eea17604d605f47,rillaboom,primarina,maushold-family-of-four,sneasler,kommo-o,gholdengo
52,180,https://pokepast.es/7b32f88cb5b9b455,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
53,180,https://pokepast.es/818ccc440baa22f3,incineroar,rillaboom,dragonite,sneasler,ursaluna-bloodmoon,gholdengo
54,180,https://pokepast.es/b3053d42837e9b74,incineroar,rillaboom,dragonite,sneasler,ursaluna-bloodmoon,gholdengo
55,180,https://pokepast.es/32ff9cfb13499b6b,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
56,180,https://pokepast.es/f10f7ea3a241c018,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
57,180,https://pokepast.es/5a114d0d2788b37d,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon,dusclops
58,180,https://pokepast.es/e44c2171f9999788,rillaboom,basculegion-male,ninetales-alola,sneasler,ursaluna-bloodmoon,kingambit
59,180,https://pokepast.es/9ba2df39407bce92,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
60,180,https://pokepast.es/2c78465b5065f2c9,dondozo,tatsugiri-curly,annihilape,weezing-galar,sableye,dragapult
61,180,https://pokepast.es/fd0e9d1488e7d154,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
62,180,https://pokepast.es/afca7e82135aa2b7,incineroar,torkoal,venusaur,dragonite,annihilape,dusclops
63,180,https://pokepast.es/2b3853766e07f043,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
64,180,https://pokepast.es/f0c3a2fe72be152d,pelipper,kingdra,archaludon,ursaluna,comfey,dusclops
65,140,https://pokepast.es/ccb04839be9d56af,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
66,140,https://pokepast.es/a1fde455fd5cfcaa,incineroar,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite
