Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/20a7f6de3190980e,corviknight,tyranitar,excadrill,magmar,indeedee-male,sneasler
2,325,https://pokepast.es/2d33bb0f6452ea1d,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
3,300,https://pokepast.es/e1f80f08b61e9d95,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
4,300,https://pokepast.es/16b2bf7994a09aff,incineroar,dragonite,clefable,sneasler,ursaluna-bloodmoon,gholdengo
5,280,https://pokepast.es/9028759802d63671,dragonite,samurott-hisui,magmar,ninetales-alola,sneasler,gholdengo
6,280,https://pokepast.es/92d38feca1141a6c,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
7,280,https://pokepast.es/f7bd488f275418df,torkoal,ursaluna,gallade,hatterene,exeggutor,indeedee-female
8,280,https://pokepast.es/1c2c5506a27b58e7,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
9,160,https://pokepast.es/948da7838bfd4277,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
10,160,https://pokepast.es/b1142c299a83b66f,arcanine-hisui,talonflame,amoonguss,indeedee-male,sneasler,ursaluna-bloodmoon
11,160,https://pokepast.es/2e76a060b309ffdd,incineroar,porygon2,primarina,archaludon,ursaluna,vivillon
12,160,https://pokepast.es/fa9a7db09aeb9129,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
13,160,https://pokepast.es/1480217a3dbc62b6,pelipper,dondozo,tatsugiri-curly,archaludon,indeedee-male,sneasler
14,160,https://pokepast.es/131b428ed3e50a35,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
15,160,https://pokepast.es/d587fb8187f00849,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
16,160,https://pokepast.es/ff5c1e581e86830f,rillaboom,volcarona,dondozo,electabuzz,sneasler,dragapult
17,125,https://pokepast.es/1dd40149d1323032,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
18,125,https://pokepast.es/39f59e900351f8e9,volcarona,dragonite,annihilape,ursaluna-bloodmoon,gholdengo,grimmsnarl
19,125,https://pokepast.es/cb6421cc368462f1,talonflame,garchomp,tyranitar,primarina,amoonguss,gholdengo
20,125,https://pokepast.es/3b53e068d94eb44e,pelipper,basculegion-male,archaludon,amoonguss,indeedee-male,sneasler
