Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/dfeb23b3756009cb,incineroar,clefable,flamigo,gholdengo,ursaluna-bloodmoon,farigiraf
2,325,,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
3,300,,incineroar,porygon2,amoonguss,sneasler,ursaluna-bloodmoon,dragapult
4,300,,garchomp,talonflame,porygon2,primarina,amoonguss,gholdengo
5,280,,charizard,torkoal,ursaluna,gallade,hatterene,indeedee-female
6,280,,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
7,280,,gyarados,magmar,ninetales-alola,sneasler,dragapult,kingambit
8,280,,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
9,160,,gyarados,magmar,ninetales-alola,sneasler,dragapult,kingambit
10,160,,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
11,160,,gyarados,magmar,ninetales-alola,sneasler,dragapult,kingambit
12,160,,pelipper,meowscarada,annihilape,maushold-family-of-four,archaludon,sinistcha
13,160,,rillaboom,garchomp,tauros-paldea-aqua-breed,chandelure,vivillon,kingambit
14,160,,incineroar,pelipper,basculegion-male,amoonguss,archaludon,gholdengo
15,160,,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
16,160,,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
17,125,,rillaboom,garchomp,tauros-paldea-aqua-breed,chandelure,vivillon,kingambit
18,125,,volcarona,basculegion-male,pelipper,amoonguss,gholdengo,kingambit
19,125,https://pokepast.es/697bdbafba3291b3,torkoal,ursaluna,gallade,hatterene,armarouge,indeedee-female
20,125,,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
21,125,,talonflame,dragonite,dondozo,tatsugiri-curly,pawmot,gholdengo
22,125,,torkoal,lilligant-hisui,hatterene,indeedee-female,dusclops,ursaluna-bloodmoon
23,125,,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
24,125,,garchomp,tyranitar,torkoal,lilligant-hisui,mimikyu,ursaluna-bloodmoon
25,125,,talonflame,dragonite,dondozo,tatsugiri-curly,pawmot,gholdengo
26,125,,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
27,125,,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
28,125,,garchomp,typhlosion-hisui,whimsicott,ninetales-alola,maushold-family-of-four,ursaluna-bloodmoon
29,125,,salamence,annihilape,whimsicott,ursaluna,indeedee-male,amoonguss
30,125,,garchomp,dragonite,pelipper,maushold-family-of-four,sneasler,archaludon
31,125,,torkoal,lilligant-hisui,ursaluna,delphox,malamar,indeedee-female
32,125,,incineroar,pelipper,basculegion-male,pawmot,amoonguss,archaludon
33,0,,torkoal,lilligant-hisui,ursaluna,gallade,hatterene,indeedee-female
34,0,,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
35,0,,pelipper,meowscarada,annihilape,maushold-family-of-four,archaludon,sinistcha
