Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/ffc235167549784a,incineroar,garchomp,porygon2,amoonguss,sneasler,gholdengo
2,325,https://pokepast.es/14b6895759786d5a,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
3,300,https://pokepast.es/2a466499709d67d8,pelipper,basculegion-male,archaludon,amoonguss,sneasler,kingambit
4,300,https://pokepast.es/f962b3efe4d3e153,torkoal,exeggutor,ursaluna,gallade,zoroark-hisui,indeedee-female
5,280,https://pokepast.es/5d0fa4a41bd79379,rillaboom,ceruledge,dragonite,gastrodon,sneasler,kingambit
6,280,https://pokepast.es/75be071de934562d,rillaboom,volcarona,dondozo,electabuzz,sneasler,dragapult
7,280,https://pokepast.es/70ceb0e91b2c5474,rillaboom,volcarona,tauros-paldea-aqua-breed,electabuzz,dragapult,kingambit
8,280,https://pokepast.es/0bee0849481fa9d4,incineroar,porygon2,yanmega,archaludon,ursaluna,sneasler
9,160,https://pokepast.es/67672f6cede980f7,dragonite,dondozo,tatsugiri-curly,annihilape,indeedee-male,sneasler
10,160,https://pokepast.es/736e8481f26034fe,garchomp,volcarona,corviknight,dragonite,ninetales-alola,sneasler
11,160,https://pokepast.es/27e1301907d671fb,garchomp,metagross,magmar,ninetales-alola,sneasler,kingambit
12,160,https://pokepast.es/cc04d79e5fb96d1c,rillaboom,garchomp,mimikyu,sneasler,ursaluna-bloodmoon,gholdengo
13,160,https://pokepast.es/746372d6687b0d30,rillaboom,basculegion-male,electabuzz,ninetales-alola,kommo-o,kingambit
14,160,https://pokepast.es/6cfe8a18cab23ef7,incineroar,flamigo,clefable,ursaluna-bloodmoon,gholdengo,farigiraf
15,160,https://pokepast.es/97c7e03e93027e01,rillaboom,volcarona,ninetales-alola,sneasler,kommo-o,kingambit
16,160,https://pokepast.es/c68fef7e478dad79,incineroar,tyranitar,porygon2,palafin,amoonguss,gholdengo
17,125,https://pokepast.es/cd37ca2735b41fe5,incineroar,porygon2,pelipper,archaludon,ursaluna,amoonguss
18,125,https://pokepast.es/fa5150c75d7bd26d,incineroar,garchomp,palafin,ninetales-alola,amoonguss,kingambit
19,125,https://pokepast.es/763a4e8c255270c4,charizard,torkoal,ursaluna,gallade,hatterene,indeedee-female
20,125,https://pokepast.es/4dad32597762bf9b,incineroar,porygon2,annihilape,ursaluna,amoonguss,gholdengo
21,125,https://pokepast.es/1f8a004aac1d5ffc,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
22,125,https://pokepast.es/8f2ee66add83c76c,blaziken,rillaboom,porygon2,ursaluna,empoleon,dragapult
23,125,https://pokepast.es/cb5e5495981dbe4f,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
24,125,https://pokepast.es/6958ffe3273edb3b,rillaboom,glimmora,kommo-o,dragapult,grimmsnarl,kingambit
25,125,https://pokepast.es/22237a04ff036e26,incineroar,porygon2,yanmega,archaludon,ursaluna,sneasler
26,125,https://pokepast.es/45c785ce40ea813e,talonflame,basculegion-male,weezing-galar,pawmot,kommo-o,toedscruel
27,125,https://pokepast.es/05a23784ba4feafa,incineroar,porygon2,yanmega,archaludon,ursaluna,sneasler
28,125,https://pokepast.es/ee09443f214ebc97,salamence,torkoal,porygon2,amoonguss,hatterene,kingambit
29,125,https://pokepast.es/33ec8c4d5b47d1d1,incineroar,porygon2,pelipper,archaludon,ursaluna,amoonguss
30,125,https://pokepast.es/65a3f0e7a908d54d,pelipper,annihilape,maushold-family-of-four,archaludon,klefki,sinistcha
31,125,https://pokepast.es/d569d72df98d0802,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
32,125,https://pokepast.es/f643a234bfc9893d,rillaboom,dragonite,clefable,sneasler,gholdengo,kingambit
33,100,https://pokepast.es/2897a8f962984cd0,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
34,100,https://pokepast.es/b5041285d74ae2b5,incineroar,primarina,ursaluna,sneasler,dragapult,farigiraf
35,100,https://pokepast.es/2ccf139514889c81,rillaboom,dragonite,clefable,sneasler,gholdengo,kingambit
36,100,https://pokepast.es/974dee7aa28158d7,whimsicott,maushold-family-of-four,delphox,indeedee-male,sneasler,dragapult
37,100,https://pokepast.es/c5eee0c8ce4e6f5d,incineroar,rillaboom,politoed,archaludon,sneasler,dragapult
38,100,https://pokepast.es/7c5ddf3b7f2bcad7,charizard,garchomp,torkoal,clefable,indeedee-male,sneasler
39,100,https://pokepast.es/7a25161360b3d107,talonflame,volcarona,tyranitar,excadrill,gastrodon,sinistcha
40,100,https://pokepast.es/aea00005c8976f6d,pelipper,basculegion-male,archaludon,ninetales-alola,amoonguss,gholdengo
41,100,https://pokepast.es/029af797d08f733d,incineroar,porygon2,pelipper,archaludon,ursaluna,amoonguss
42,100,https://pokepast.es/efdf9ce75d1357b5,rillaboom,basculegion-male,electabuzz,ninetales-alola,kommo-o,kingambit
43,100,https://pokepast.es/250c5f4a1d5319f1,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
44,100,https://pokepast.es/4cd658902151b119,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
45,100,https://pokepast.es/08aa9b5d900ee010,garchomp,whimsicott,annihilape,clefable,hydreigon,gholdengo
46,100,https://pokepast.es/dc0f98a48439facd,rillaboom,dragonite,primarina,electabuzz,sneasler,kingambit
47,100,https://pokepast.es/cf982a665053bbbe,pelipper,basculegion-male,archaludon,amoonguss,indeedee-male,sneasler
48,100,https://pokepast.es/14c647d60eeb1b93,arcanine-hisui,whimsicott,primarina,indeedee-male,sneasler,ursaluna-bloodmoon
49,100,https://pokepast.es/e3cfa0d0fda6af4a,whimsicott,annihilape,delphox,indeedee-female,ursaluna-bloodmoon,gholdengo
50,100,https://pokepast.es/5e5d9efee00345d9,incineroar,garchomp,porygon2,amoonguss,sneasler,gholdengo
