Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/a4d11bfc32b2fcf3,incineroar,scyther,sylveon,ninetales-alola,garganacl,gholdengo
2,325,https://pokepast.es/067e9a12f14ac952,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
3,300,https://pokepast.es/639696a53a59f4a8,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
4,300,https://pokepast.es/d7bcf9bc11e19dcb,tyranitar,annihilape,maushold-family-of-four,klefki,sinistcha,ursaluna-bloodmoon
5,280,https://pokepast.es/9cd39668dbdc2ced,pelipper,basculegion-male,annihilape,archaludon,greninja,sinistcha
6,280,https://pokepast.es/091906c5da914026,incineroar,basculegion-male,dragonite,annihilape,maushold-family-of-four,gholdengo
7,280,https://pokepast.es/8fbe555b1799b8dc,tyranitar,excadrill,annihilape,maushold-family-of-four,indeedee-male,sneasler
8,280,https://pokepast.es/5ffcc8907eeb93f7,salamence,flamigo,archaludon,ursaluna,armarouge,indeedee-female
9,200,https://pokepast.es/b3d38b8497ee0507,rillaboom,volcarona,tyranitar,basculegion-male,dragonite,sneasler
10,200,https://pokepast.es/eb6a24cb6cd7c18a,incineroar,porygon2,dragonite,annihilape,ursaluna,gholdengo
11,200,https://pokepast.es/49e4b4a5272d3a0d,rillaboom,charizard,torkoal,ursaluna,hatterene,indeedee-female
12,200,https://pokepast.es/b889888d099f1c83,talonflame,meowscarada,primarina,annihilape,ursaluna-bloodmoon,gholdengo
13,200,https://pokepast.es/208b487f8cf57f48,pelipper,dragonite,archaludon,clefairy,sneasler,dragapult
14,200,https://pokepast.es/bbbfd095e9c0ecf8,whimsicott,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon,gholdengo
15,200,https://pokepast.es/5c14668864b31db9,garchomp,corviknight,tyranitar,kilowattrel,gholdengo,dragapult
16,200,https://pokepast.es/20a751ec8014280a,rillaboom,tyranitar,dragonite,maushold-family-of-four,sneasler,gholdengo
