Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/3f5a3379ac991a00,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/bec59d2a189eb469,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
3,300,https://pokepast.es/2f33d2a0fff02576,incineroar,porygon2,dragonite,ursaluna,amoonguss,gholdengo
4,300,https://pokepast.es/bd41f9cff9e9f4a6,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
5,280,https://pokepast.es/7f65403435db4d87,gyarados,tyranitar,excadrill,dragonite,amoonguss,gholdengo
6,280,https://pokepast.es/f621a40b159e2d28,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
7,280,https://pokepast.es/c36cb74a33c366af,incineroar,dragonite,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
8,280,https://pokepast.es/55be3a034d2ae885,rillaboom,volcarona,dondozo,electabuzz,sneasler,kingambit
9,160,https://pokepast.es/cd9d964479488fdb,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
10,160,https://pokepast.es/0f8b80d542c5c3ce,talonflame,electabuzz,armarouge,indeedee-male,sneasler,ursaluna-bloodmoon
11,160,https://pokepast.es/0c064c319cb118d2,incineroar,rillaboom,dragonite,annihilape,sneasler,gholdengo
12,160,https://pokepast.es/ce2f7fa7c05bc9d9,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
13,160,https://pokepast.es/0091a6df31370073,torkoal,lilligant-hisui,ursaluna,armarouge,hatterene,indeedee-female
14,160,https://pokepast.es/c2efc6704223a9dd,dragonite,annihilape,magmar,ninetales-alola,ursaluna-bloodmoon,gholdengo
15,160,https://pokepast.es/30183080261a49f8,pelipper,basculegion-male,archaludon,sinistcha,ursaluna-bloodmoon,farigiraf
16,160,https://pokepast.es/c2c051011029442a,talonflame,dragonite,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
17,125,https://pokepast.es/bcfde3e8cbd82149,scrafty,torkoal,ursaluna,gallade,armarouge,indeedee-female
18,125,https://pokepast.es/881e35cb70599236,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
19,125,https://pokepast.es/061d4973c2643266,incineroar,charizard,torkoal,exeggutor,indeedee-male,sneasler
20,125,https://pokepast.es/1cc9e3792998e381,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
21,125,https://pokepast.es/d3fa39dd98297e00,volcarona,pelipper,archaludon,ursaluna,zoroark-hisui,sinistcha
22,125,https://pokepast.es/a52e99ba90fbd5a7,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
23,125,https://pokepast.es/5214412fdccf0fb5,decidueye-hisui,meowscarada,primarina,sylveon,indeedee-male,sneasler
24,125,https://pokepast.es/2738d01504494c2d,torkoal,maushold-family-of-four,ursaluna,gallade,hatterene,indeedee-female
25,125,https://pokepast.es/176f71015054685b,incineroar,rillaboom,volcarona,dragonite,electabuzz,sneasler
26,125,https://pokepast.es/26751af2cde57d46,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
27,125,https://pokepast.es/637e66fbcdedce03,talonflame,electabuzz,armarouge,indeedee-male,sneasler,ursaluna-bloodmoon
28,125,https://pokepast.es/10a71ffcccec9495,incineroar,rillaboom,volcarona,dragonite,annihilape,ursaluna-bloodmoon
29,125,https://pokepast.es/81ba56dbf65b9e96,incineroar,porygon2,pelipper,archaludon,weezing-galar,sinistcha
30,125,https://pokepast.es/3f8c3bbc0db8f4f7,incineroar,garchomp,porygon2,amoonguss,hydreigon,gholdengo
31,125,https://pokepast.es/da21bfbd8f6b9e56,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
32,125,https://pokepast.es/436113610682ae08,incineroar,tyranitar,excadrill,reuniclus,amoonguss,kommo-o
33,100,https://pokepast.es/8729e3745e452ac9,volcarona,dragonite,annihilape,archaludon,ursaluna-bloodmoon,grimmsnarl
34,100,https://pokepast.es/15c4c1d5de68a0d9,talonflame,dondozo,tatsugiri-curly,glimmora,hydreigon,gholdengo
35,100,https://pokepast.es/ab7133ec3706dae1,rillaboom,volcarona,primarina,sneasler,gholdengo,kingambit
36,100,https://pokepast.es/0a6ad1c7e831d7fc,volcarona,primarina,clefairy,ninetales-alola,sneasler,dragapult
37,100,https://pokepast.es/70aaac801229f548,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
38,100,https://pokepast.es/69722ab3a7f626e8,rillaboom,talonflame,basculegion-male,annihilape,greninja,archaludon
39,100,https://pokepast.es/e4b090bf425d0446,rillaboom,talonflame,dragonite,annihilape,ursaluna-bloodmoon,gholdengo
40,100,https://pokepast.es/990939568a0dbe2a,talonflame,electabuzz,armarouge,indeedee-male,sneasler,ursaluna-bloodmoon
41,100,https://pokepast.es/393ebee00fe9dd58,incineroar,porygon2,ursaluna,hydreigon,amoonguss,gholdengo
42,100,https://pokepast.es/7303cb3b200d3ac6,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
43,100,https://pokepast.es/0cecf76635de3c53,rillaboom,dragonite,magmar,sneasler,ursaluna-bloodmoon,gholdengo
44,100,https://pokepast.es/f9c22d9658e10fe4,incineroar,garchomp,volcarona,electabuzz,ninetales-alola,glaceon
45,100,https://pokepast.es/043a1b302feb9fa3,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
46,100,https://pokepast.es/53ac2a6cfb69395f,incineroar,porygon2,pelipper,basculegion-male,archaludon,amoonguss
47,100,https://pokepast.es/5efd911de559c6a7,rillaboom,whimsicott,pelipper,basculegion-male,annihilape,archaludon
48,100,https://pokepast.es/e192328f8711e243,rillaboom,dondozo,electabuzz,sneasler,kommo-o,gholdengo
49,100,https://pokepast.es/ba62266e6a472213,volcarona,primarina,gothitelle,kommo-o,gholdengo,kingambit
50,100,https://pokepast.es/b5983172fd4d5491,porygon2,politoed,basculegion-male,archaludon,amoonguss,ursaluna-bloodmoon
51,100,https://pokepast.es/f571391e84811941,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
52,100,https://pokepast.es/77b6740e1f993164,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
53,100,https://pokepast.es/00aecc7f6a621b3d,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
54,100,https://pokepast.es/bcf4d0330d7a428b,typhlosion-hisui,basculegion-male,dragonite,clefable,sneasler,kingambit
55,100,https://pokepast.es/b7499c01d3f1ce73,incineroar,pelipper,basculegion-male,archaludon,amoonguss,sneasler
56,100,https://pokepast.es/b06716f3e5b53776,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
