Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/f7c8f19c66a8fe64,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
2,325,https://pokepast.es/f7c8f19c66a8fe64,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
3,300,https://pokepast.es/ca17e92d33c08d2d,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
4,300,https://pokepast.es/b643b12da1cc6fcc,incineroar,garchomp,corviknight,archaludon,amoonguss,sneasler
5,280,https://pokepast.es/ab08fefdee5d2b3e,incineroar,pelipper,palafin,hydreigon,amoonguss,gholdengo
6,280,https://pokepast.es/ff2e5397e6bb0a69,tyranitar,excadrill,annihilape,maushold-family-of-four,indeedee-male,sneasler
7,280,https://pokepast.es/0f0d009d58d760e7,incineroar,garchomp,porygon2,hydreigon,amoonguss,gholdengo
8,280,https://pokepast.es/c6ecb99af95024ac,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
9,160,https://pokepast.es/dfc96a05391c3aae,torkoal,maushold-family-of-four,ursaluna,gallade,hatterene,indeedee-female
10,160,https://pokepast.es/49ba19c5ea2d9a19,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
11,160,https://pokepast.es/df31947d0eaf250f,talonflame,archaludon,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
12,160,https://pokepast.es/0f523d528ec8a387,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
13,160,https://pokepast.es/b22f1ac5bb8ba3f2,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
14,160,https://pokepast.es/eef9879f83904ef9,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
15,160,https://pokepast.es/fafeba75c3755b08,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
16,160,https://pokepast.es/6a06ddf411d08d99,pelipper,basculegion-male,archaludon,amoonguss,indeedee-male,sneasler
17,125,https://pokepast.es/6ce94ca780cefcb5,rillaboom,glimmora,kommo-o,dragapult,grimmsnarl,kingambit
18,125,https://pokepast.es/74d2448942e419f9,incineroar,whimsicott,dragonite,annihilape,archaludon,ursaluna-bloodmoon
19,125,https://pokepast.es/bf98825dd6651896,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
20,125,https://pokepast.es/843e7bb9110cc7ef,rillaboom,murkrow,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon
21,125,https://pokepast.es/c969433caa383e18,incineroar,rillaboom,dragonite,electabuzz,sneasler,ursaluna-bloodmoon
22,125,https://pokepast.es/f03f4b7eac9f88cd,rillaboom,dondozo,tatsugiri [droopy form],ninetales-alola,sneasler,kingambit
