Category,Full Name,Pokepaste,EVs,Tournament / Event,Rank,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
In Person Event,jayballevgc,https://pokepast.es/529602a1660feef7,Yes,Lille Regional 2026,4th,Dondozo,Pelipper,Tatsugiri,Annihilape,Weavile,Archaludon
In Person Event,yvarvgc,https://pokepast.es/b1bac4aa580269e8,Yes,Lille Regional 2026,8th,Incineroar,Typhlosion-Hisui,Toedscruel,Kilowattrel,Weezing-Galar,Garchomp
In Person Event,Josh Tarrant,https://pokepast.es/489e631f2b3aa53f,Yes,Lille Regional 2026,48th,Volcarona,Amoonguss,Tyranitar,Corviknight,Grimmsnarl,Garchomp
In Person Event,azrael_xi,https://pokepast.es/cdf42447a63bbad2,Yes,Lille Regional 2026,55th,Incineroar,Basculegion,Rillaboom,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Alex Arand,https://pokepast.es/498a1a5967851380,No,Milwaukee Regional 2026,1st,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Joshua Lorcy,https://pokepast.es/00bf2d86b8262f92,No,Milwaukee Regional 2026,2nd,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Leonard Craft III,https://pokepast.es/58496e5382dbf949,Yes,Milwaukee Regional 2026,3rd,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Dylan Matthews,https://pokepast.es/9b656262d9ee55a9,No,Milwaukee Regional 2026,4th,Incineroar,Ursaluna-Bloodmoon,Sinistcha,Kingambit,Ninetales-Alola,Dragonite
In Person Event,Brian Collins,https://pokepast.es/a9730c37190f3010,No,Milwaukee Regional 2026,5th,Incineroar,Torkoal,Lilligant-Hisui,Indeedee-F,Farigiraf,Hatterene
In Person Event,Wolfe Glick,https://pokepast.es/cf55b58f496ef30f,No,Milwaukee Regional 2026,6th,Incineroar,Ursaluna-Bloodmoon,Zoroark-Hisui,Whimsicott,Gholdengo,Dragonite
In Person Event,Sierra Elsbecker,https://pokepast.es/a470e8c8852496b7,No,Milwaukee Regional 2026,7th,Primarina,Rillaboom,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Dragonite
In Person Event,Riley Factura,https://pokepast.es/4f0bb2f3c517df3a,No,Milwaukee Regional 2026,8th,Incineroar,Basculegion,Pelipper,Amoonguss,Archaludon,Kommo-o
In Person Event,Christopher H.,https://pokepast.es/31cd10e0de9b4530,No,Milwaukee Regional 2026,9th,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Baby Singh,https://pokepast.es/dcdf9909fb69ce43,No,Milwaukee Regional 2026,10th,Incineroar,Amoonguss,Excadrill,Tyranitar,Corviknight,Hydreigon
In Person Event,Caelan Brown,https://pokepast.es/31f14d9f41952e79,No,Milwaukee Regional 2026,11th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Hydreigon
In Person Event,Erich Schrader,https://pokepast.es/da8f52d70b02271b,No,Milwaukee Regional 2026,12th,Annihilape,Excadrill,Sneasler,Tyranitar,Indeedee,Maushold-Family-of-Four
In Person Event,Ethan Haberle,https://pokepast.es/2c5bfc7ea6706856,No,Milwaukee Regional 2026,13th,Incineroar,Volcarona,Basculegion,Rillaboom,Ursaluna-Bloodmoon,Ninetales-Alola
In Person Event,Billy Helm,https://pokepast.es/27dbd0a14bb55ae2,Yes,Milwaukee Regional 2026,29th,Dondozo,Tatsugiri,Kilowattrel,Mamoswine,Slaking,Weezing
In Person Event,Alyse Johnson,https://pokepast.es/aed61e6909bee799,Yes,Milwaukee Regional 2026,42nd,Incineroar,Volcarona,Golduck,Oricorio-Sensu,Sneasler,Grimmsnarl
In Person Event,Jimmy Friedle,https://pokepast.es/f17a9d0676f04c29,Yes,Milwaukee Regional 2026,53rd,Politoed,Sneasler,Ursaluna,Braviary-Hisui,Indeedee-F,Archaludon
In Person Event,Alvin Mo,https://pokepast.es/ba9c7e31be8c8133,Yes,Milwaukee Regional 2026,62nd,Incineroar,Toxtricity,Malamar,Ursaluna-Bloodmoon,Zoroark-Hisui,Noivern
