Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/399224fbed3c9e97,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/c2517c03ecefa5bd,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
3,300,https://pokepast.es/0a8148d976d023fa,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
4,300,https://pokepast.es/54319cc36ae1d1f0,arcanine-hisui,hydreigon,espathra,indeedee-female,sneasler,kingambit
5,280,https://pokepast.es/8997f7ef68b5b6f3,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
6,280,https://pokepast.es/87ce8a947ec4c660,rillaboom,dragonite,annihilape,maushold-family-of-four,sableye,ursaluna-bloodmoon
7,280,https://pokepast.es/6bed9f0d6bb7ffac,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
8,280,https://pokepast.es/a69231234c0d075c,pelipper,dragonite,annihilape,archaludon,ursaluna,sinistcha
9,200,https://pokepast.es/c56bc0b8997d21fe,incineroar,annihilape,maushold-family-of-four,zoroark-hisui,sinistcha,ursaluna-bloodmoon
10,200,https://pokepast.es/54d501424589ee6b,incineroar,rillaboom,pelipper,archaludon,sneasler,gholdengo
11,200,https://pokepast.es/c4bb9b5d08759d80,dragonite,dondozo,tatsugiri-curly,annihilape,indeedee-male,sneasler
12,200,https://pokepast.es/847cd3e1a8940b14,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
13,200,https://pokepast.es/523265e820e86ba2,incineroar,garchomp,corviknight,tyranitar,sneasler,gholdengo
14,200,https://pokepast.es/c7bf98f7635cec21,rillaboom,volcarona,basculegion-male,clefable,sneasler,kingambit
15,200,https://pokepast.es/059282f62999c0f7,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
16,200,https://pokepast.es/665112bd0f4ca106,incineroar,garchomp,whimsicott,dragonite,annihilape,gholdengo
17,160,https://pokepast.es/8c6794790966216b,arcanine-hisui,hydreigon,espathra,indeedee-female,sneasler,kingambit
18,160,https://pokepast.es/2699380b27af35cc,incineroar,rillaboom,dragonite,ursaluna,ninetales-alola,frosmoth
19,160,https://pokepast.es/62afbfd487e77be0,rillaboom,volcarona,basculegion-male,dragonite,sneasler,kingambit
20,160,https://pokepast.es/5bce5918197607f9,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
21,160,https://pokepast.es/8955661f914f1534,volcarona,dragonite,dondozo,archaludon,sneasler,ursaluna-bloodmoon
22,160,https://pokepast.es/d484941e2e8567b5,rillaboom,dragonite,magmar,sneasler,ursaluna-bloodmoon,gholdengo
23,160,https://pokepast.es/89fcb4d03f1a6996,volcarona,salamence,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
24,160,https://pokepast.es/18acc480e021946f,talonflame,garchomp,tyranitar,annihilape,amoonguss,gholdengo
25,160,https://pokepast.es/2e85ce888388d99d,incineroar,tyranitar,whimsicott,annihilape,maushold-family-of-four,gholdengo
26,160,https://pokepast.es/3c35a492cb95065a,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
27,160,https://pokepast.es/c061b974bfa7367f,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
28,160,https://pokepast.es/017798c99e1e017c,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
29,160,https://pokepast.es/b3982f03ea39ce86,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
