Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/af7b7c93caafd12b,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
2,325,https://pokepast.es/1b67aaf2fb677213,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
3,300,https://pokepast.es/33e407e2206e3af5,rillaboom,volcarona,basculegion-male,dragonite,maushold-family-of-four,sneasler
4,300,https://pokepast.es/2c9cbc11ed291112,rillaboom,volcarona,dragonite,maushold-family-of-four,sneasler,gholdengo
5,280,https://pokepast.es/598833df2b48c0da,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
6,280,https://pokepast.es/6034db3780115394,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
7,280,https://pokepast.es/a9977677d13ef659,annihilape,maushold-family-of-four,klefki,sinistcha,ninetales-alola,ursaluna-bloodmoon
8,280,https://pokepast.es/b4001bbd737b0b51,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
9,160,https://pokepast.es/e61522b218111e28,dragonite,annihilape,magmar,ninetales-alola,ursaluna-bloodmoon,gholdengo
10,160,https://pokepast.es/bbaba6d96f959c49,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
11,160,https://pokepast.es/76f43ef84ff4bb78,rillaboom,dondozo,tatsugiri-curly,glimmora,sneasler,kingambit
12,160,https://pokepast.es/e04126044b378430,tauros-paldea-aqua-breed,dragonite,pelipper,archaludon,sinistcha,gholdengo
13,160,https://pokepast.es/067890b5c535477d,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
14,160,https://pokepast.es/790f5c449e0b99d9,talonflame,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
15,160,https://pokepast.es/472fa377aaeb3471,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
16,160,https://pokepast.es/067e0288f46de436,volcarona,dragonite,dondozo,tatsugiri-curly,annihilape,archaludon
17,125,https://pokepast.es/b19acbdb222004d3,talonflame,garchomp,dragonite,archaludon,sneasler,gholdengo
18,125,https://pokepast.es/de6e912250df3349,rillaboom,volcarona,clefable,sneasler,dragapult,kingambit
19,125,https://pokepast.es/05ee7e5e8d8d0c0a,pelipper,dondozo,tatsugiri-curly,archaludon,indeedee-male,sneasler
20,125,https://pokepast.es/22c732d2582abeb1,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
21,125,https://pokepast.es/95b8f9a40859da81,talonflame,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
22,125,https://pokepast.es/f8e3fe7c211f4247,volcarona,dragonite,kommo-o,ursaluna-bloodmoon,gholdengo,grimmsnarl
23,125,https://pokepast.es/d6a04a446bf5665b,incineroar,porygon2,dondozo,amoonguss,sneasler,gholdengo
24,125,https://pokepast.es/eae083a9de74bb2a,talonflame,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
