Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/4f5faa449a887518,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
2,325,https://pokepast.es/3733ba29e0c6c745,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
3,300,https://pokepast.es/61a74262cb248801,volcarona,gastrodon,maushold-family-of-four,baxcalibur,sneasler,kingambit
4,300,https://pokepast.es/2ed062e4c703feef,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
5,280,https://pokepast.es/bb466ea2458bc395,pelipper,basculegion-male,annihilape,maushold-family-of-four,archaludon,amoonguss
6,280,https://pokepast.es/da64076212552f9c,garchomp,porygon2,primarina,vivillon,gholdengo,kingambit
7,280,https://pokepast.es/c648158eb08c1a66,rillaboom,talonflame,annihilape,maushold-family-of-four,ninetales-alola,gholdengo
8,280,https://pokepast.es/8969955c3fbdf1fc,talonflame,dragonite,dondozo,tatsugiri-curly,glimmora,gholdengo
9,160,https://pokepast.es/e37637b56ccf4b41,murkrow,annihilape,sinistcha,indeedee-male,sneasler,gholdengo
10,160,https://pokepast.es/cb76d96474b7ee13,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
11,160,https://pokepast.es/bb2d6ef4e9d42200,incineroar,rillaboom,porygon2,ursaluna,amoonguss,gholdengo
12,160,https://pokepast.es/0e1c9689cfcf6c21,talonflame,dondozo,tatsugiri [droopy form],archaludon,glimmora,gholdengo
13,160,https://pokepast.es/e90e5c9e9a2834d5,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
14,160,https://pokepast.es/421368ccc8ca6e66,decidueye-hisui,tyranitar,hydreigon,indeedee-female,gholdengo,dragapult
15,160,https://pokepast.es/87576a7f936d478c,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
16,160,https://pokepast.es/5ffd1c1137443f52,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
17,125,https://pokepast.es/1c12b64932df7500,garchomp,pelipper,poliwrath,archaludon,amoonguss,kingambit
18,125,https://pokepast.es/c6e8063b8540d860,meowscarada,pelipper,annihilape,maushold-family-of-four,archaludon,sinistcha
19,125,https://pokepast.es/cfc8cdd353b5fd09,rillaboom,garchomp,chandelure,tauros-paldea-aqua-breed,vivillon,kingambit
20,125,https://pokepast.es/665b812131531892,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
21,125,https://pokepast.es/69256246c9f22503,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
22,125,https://pokepast.es/b8402fdc8c9ecacd,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
23,125,https://pokepast.es/9b59a2bf5ecaccf2,garchomp,corviknight,dragonite,primarina,sneasler,kingambit
24,125,https://pokepast.es/9429df8974278391,incineroar,rillaboom,garchomp,flamigo,clefable,gholdengo
25,125,https://pokepast.es/171fc41dc4634e70,incineroar,rillaboom,clefable,sneasler,gholdengo,dragapult
26,125,https://pokepast.es/f07230815b610bf6,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
27,125,https://pokepast.es/550d8ac49612b33c,rillaboom,dragonite,glimmora,clefable,sneasler,kingambit
28,125,https://pokepast.es/3d931d6391db3f4c,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
29,125,https://pokepast.es/ba6e58ad11f5b9f5,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
30,125,https://pokepast.es/910ec8b738436f51,rillaboom,garchomp,chandelure,tauros-paldea-aqua-breed,vivillon,kingambit
31,125,https://pokepast.es/9019f4d2cf503603,rillaboom,salamence,primarina,electabuzz,sneasler,kingambit
32,125,https://pokepast.es/7a9b7ad3b2c48a05,talonflame,garchomp,dragonite,weezing-galar,amoonguss,sneasler
33,0,https://pokepast.es/6c077d7ca2f78c8b,rillaboom,volcarona,dragonite,clefable,sneasler,kingambit
34,0,https://pokepast.es/5c914bf48dda8d33,incineroar,garchomp,porygon2,primarina,vivillon,gholdengo
35,0,https://pokepast.es/237d8d666cbef39b,talonflame,dragonite,primarina,archaludon,glimmora,kingambit
36,0,https://pokepast.es/ab3f9b144a16a2a0,rillaboom,porygon2,primarina,ursaluna,amoonguss,kingambit
37,0,https://pokepast.es/e3a6e85fa7bac2b8,pelipper,annihilape,maushold-family-of-four,archaludon,armarouge,indeedee-female
38,0,https://pokepast.es/c6d0d2d1ec94c103,rillaboom,murkrow,pelipper,basculegion-male,archaludon,ursaluna-bloodmoon
39,0,https://pokepast.es/0c128dc79ec88c42,talonflame,dragonite,dondozo,tatsugiri-curly,pawmot,gholdengo
