Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/8a893bcef17a6578,incineroar,dragonite,ribombee,kommo-o,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/1c78731442bef391,incineroar,rillaboom,smeargle,sneasler,ursaluna-bloodmoon,gholdengo
3,300,https://pokepast.es/3d4fbbf775cf1283,incineroar,rillaboom,dragonite,sneasler,ursaluna-bloodmoon,gholdengo
4,300,https://pokepast.es/529602a1660feef7,pelipper,dondozo,tatsugiri-curly,annihilape,weavile,archaludon
5,280,https://pokepast.es/0709257412e0aaef,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
6,280,https://pokepast.es/afd3bdaf719d2128,rillaboom,annihilape,maushold-family-of-four,ninetales-alola,ursaluna-bloodmoon,gholdengo
7,280,https://pokepast.es/ff40db679b1fbc76,incineroar,garchomp,tyranitar,kilowattrel,amoonguss,gholdengo
8,280,https://pokepast.es/b1bac4aa580269e8,incineroar,typhlosion-hisui,garchomp,kilowattrel,weezing-galar,toedscruel
9,200,https://pokepast.es/21941610e6dc08db,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
10,200,https://pokepast.es/0d79813ddeba2494,talonflame,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
11,200,https://pokepast.es/cef7657229162fa3,rillaboom,dragonite,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
12,200,https://pokepast.es/c16179376482997a,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
13,200,https://pokepast.es/ac31695092611511,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
14,200,https://pokepast.es/02d2e3a104fe877b,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
15,200,https://pokepast.es/91d013759146de9e,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
16,200,https://pokepast.es/730852e14f12c7ae,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
17,160,https://pokepast.es/0188286786e2a9b5,incineroar,dragonite,ribombee,kommo-o,ursaluna-bloodmoon,gholdengo
18,160,https://pokepast.es/ecb1456c42662aa9,typhlosion-hisui,rillaboom,torkoal,jumpluff,dachsbun,kingambit
19,160,https://pokepast.es/205a8d663c5d6265,talonflame,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
20,160,https://pokepast.es/d49447ac31e883f8,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
21,160,https://pokepast.es/1754f682e343755c,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
22,160,https://pokepast.es/54efd619032e4638,volcarona,dragonite,archaludon,ursaluna-bloodmoon,gholdengo,grimmsnarl
23,160,https://pokepast.es/bfddddb7ceeab3a2,incineroar,garchomp,whimsicott,dragonite,gholdengo,kingambit
24,160,https://pokepast.es/8361fa40780b9e3e,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
25,160,https://pokepast.es/45c844685769056c,incineroar,rillaboom,smeargle,sneasler,ursaluna-bloodmoon,gholdengo
26,160,https://pokepast.es/4e37b489097966b9,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
27,160,https://pokepast.es/b16c9ebd2bf90165,typhlosion-hisui,dondozo,tatsugiri-curly,glimmora,indeedee-male,sneasler
28,160,https://pokepast.es/5cd9fbff73494f8c,pelipper,basculegion-male,dragonite,archaludon,amoonguss,gholdengo
29,160,https://pokepast.es/67e2caf279ce09b6,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
30,160,https://pokepast.es/6232eb194b6e53b3,talonflame,basculegion-male,dragonite,tsareena,electabuzz,ursaluna-bloodmoon
31,160,https://pokepast.es/bdfb5e88d30ee25f,incineroar,torkoal,lilligant-hisui,hatterene,indeedee-female,farigiraf
32,160,https://pokepast.es/89ed6b159f8a07da,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
33,120,https://pokepast.es/b9e39265d035c4dc,incineroar,garchomp,flamigo,ninetales-alola,amoonguss,gholdengo
34,120,https://pokepast.es/19f5ba1ac1fe4ff4,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
35,120,https://pokepast.es/f0e017eb2c4b8e9a,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
