Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/58496e5382dbf949,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/f23223e7cb8aeb3f,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
3,300,https://pokepast.es/27dbd0a14bb55ae2,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
4,300,https://pokepast.es/2f34bf6c96ae8164,incineroar,dragonite,ninetales-alola,sinistcha,ursaluna-bloodmoon,kingambit
5,280,https://pokepast.es/438c0a52914cacff,incineroar,torkoal,lilligant-hisui,hatterene,indeedee-female,farigiraf
6,280,https://pokepast.es/bcd969001c9147ac,incineroar,whimsicott,dragonite,zoroark-hisui,ursaluna-bloodmoon,gholdengo
7,280,https://pokepast.es/cfa84a9ae639a427,rillaboom,dragonite,primarina,electabuzz,sneasler,ursaluna-bloodmoon
8,280,https://pokepast.es/263d087c916ad977,incineroar,pelipper,basculegion-male,archaludon,amoonguss,kommo-o
9,200,https://pokepast.es/eb97791f3ab637a2,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
10,200,https://pokepast.es/1db6eebb37dc769d,incineroar,corviknight,tyranitar,excadrill,hydreigon,amoonguss
11,200,https://pokepast.es/6f8c8b6bc28fdc94,incineroar,porygon2,ursaluna,hydreigon,amoonguss,gholdengo
12,200,https://pokepast.es/a4959d3d9e9c79f2,tyranitar,excadrill,annihilape,maushold-family-of-four,indeedee-male,sneasler
13,200,https://pokepast.es/1bf36df3a4a5e594,incineroar,rillaboom,volcarona,basculegion-male,ninetales-alola,ursaluna-bloodmoon
14,200,https://pokepast.es/022cae1d9320ad1e,rillaboom,basculegion-male,ninetales-alola,sneasler,ursaluna-bloodmoon,kingambit
15,200,https://pokepast.es/e0ea3931547dd673,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
16,200,https://pokepast.es/81190fea5147f67f,incineroar,typhlosion-hisui,rillaboom,whimsicott,ursaluna-bloodmoon,farigiraf
17,160,https://pokepast.es/872671c3472c5c4c,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
