Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/d727a951e3e3e1fe,dondozo,tatsugiri-curly,murkrow,sneasler,dragapult,gholdengo
2,325,https://pokepast.es/e8edec221c3a6104,delphox,indeedee-male,murkrow,sneasler,dragapult,gholdengo
3,300,https://pokepast.es/d6364a12709575aa,tyranitar,delphox,indeedee-female,amoonguss,sneasler,dragapult
4,300,https://pokepast.es/3b3086112e97c338,incineroar,garchomp,dragonite,ninetales-alola,amoonguss,kingambit
5,280,https://pokepast.es/e970f5c0205e1429,volcarona,tyranitar,amoonguss,ursaluna-bloodmoon,gholdengo,grimmsnarl
6,280,https://pokepast.es/cd967b3ded44c97b,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
7,280,https://pokepast.es/1e19fe9710848901,meowscarada,primarina,pelipper,maushold-family-of-four,archaludon,ursaluna-bloodmoon
8,280,https://pokepast.es/0ecaa4000c731a39,rillaboom,blastoise,murkrow,sneasler,farigiraf,gholdengo
9,160,https://pokepast.es/383bf18f68e0542b,pelipper,basculegion-male,whimsicott,maushold-family-of-four,archaludon,ursaluna-bloodmoon
10,160,https://pokepast.es/1acf37f6950dac30,meowscarada,decidueye-hisui,primarina,sylveon,indeedee-male,sneasler
11,160,https://pokepast.es/e6a89a4ebf99671f,incineroar,pelipper,basculegion-male,maushold-family-of-four,archaludon,amoonguss
12,160,https://pokepast.es/280852fc5b1a2309,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
13,160,https://pokepast.es/95312ba6322385bd,decidueye-hisui,primarina,porygon2,ursaluna,armarouge,indeedee-female
14,160,https://pokepast.es/e9cc1a2db41f2d6f,rillaboom,primarina,electabuzz,sneasler,dragapult,kingambit
15,160,https://pokepast.es/5e0d87e4d4261688,volcarona,dragonite,annihilape,ursaluna-bloodmoon,gholdengo,grimmsnarl
16,160,https://pokepast.es/777b1d3dee443ad6,torkoal,smeargle,weezing,gallade,braviary-hisui,indeedee-female
