Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/d1d597ebb9f44de8,incineroar,basculegion-male,dragonite,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/c6115a827b677e95,volcarona,hariyama,primarina,archaludon,sinistcha,kingambit
3,300,https://pokepast.es/3a41dd2f6e3bd125,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
4,300,https://pokepast.es/2640aa758b7840d4,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
5,280,https://pokepast.es/639696a53a59f4a8,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
6,280,https://pokepast.es/271218bc5e728a16,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
7,280,https://pokepast.es/84a16fb972eeb30c,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
8,280,https://pokepast.es/2e8de7a46e5f9a70,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
9,200,https://pokepast.es/02c4bb1226fecbc8,incineroar,rillaboom,ninetales-alola,sneasler,ursaluna-bloodmoon,gholdengo
10,200,https://pokepast.es/67d6becda965c3bd,incineroar,whimsicott,basculegion-male,dragonite,maushold-family-of-four,gholdengo
11,200,https://pokepast.es/5f9f40c4aa76656d,incineroar,dragonite,annihilape,archaludon,ninetales-alola,gholdengo
12,200,https://pokepast.es/f438a640c0413403,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
13,200,https://pokepast.es/a1f2a6e86be7cee1,incineroar,porygon2,ursaluna,hydreigon,amoonguss,gholdengo
14,200,https://pokepast.es/2ad700a6ccab539c,incineroar,whimsicott,pelipper,basculegion-male,archaludon,gholdengo
15,200,https://pokepast.es/65e9feaacc9b3c97,rillaboom,whimsicott,dragonite,ninetales,maushold-family-of-four,ursaluna-bloodmoon
16,200,https://pokepast.es/7d96fd83cf8ae8a6,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
17,160,https://pokepast.es/b162740c3f8ce2e1,tyranitar,excadrill,indeedee-male,sneasler,ursaluna-bloodmoon,dusclops
18,160,https://pokepast.es/e21639e1e3d219ea,garchomp,volcarona,corviknight,hydreigon,gholdengo,grimmsnarl
19,160,https://pokepast.es/2575cd195598517f,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
20,160,https://pokepast.es/e680b1958d84a425,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
21,160,https://pokepast.es/f5a1cddadefda81b,garchomp,corviknight,tyranitar,basculegion-male,magmar,gholdengo
22,160,https://pokepast.es/450c1cc7fa7b47cb,rillaboom,dragonite,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
23,160,https://pokepast.es/4c7b5eebb568006b,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
24,160,https://pokepast.es/4d12414999254d91,dondozo,tatsugiri-curly,maushold-family-of-four,archaludon,indeedee-male,sneasler
25,160,https://pokepast.es/34eda9bc7ea10fdc,incineroar,garchomp,whimsicott,dragonite,annihilape,gholdengo
26,160,https://pokepast.es/13efe3f6c38edaf3,dragonite,dondozo,tatsugiri-curly,indeedee-male,sneasler,ursaluna-bloodmoon
27,160,https://pokepast.es/dd368eb2affc34bc,incineroar,dragonite,annihilape,archaludon,ninetales-alola,gholdengo
28,160,https://pokepast.es/f3cbc0d04e618c58,tyranitar,excadrill,indeedee-male,sneasler,ursaluna-bloodmoon,dusclops
29,160,https://pokepast.es/7ea4d0c75865148b,rillaboom,volcarona,basculegion-male,electabuzz,ninetales-alola,kingambit
30,160,https://pokepast.es/6cbe9c1c056ed61e,rillaboom,annihilape,maushold-family-of-four,sneasler,ursaluna-bloodmoon,gholdengo
31,160,https://pokepast.es/e42c9c1c8aebb637,incineroar,porygon2,dragonite,amoonguss,sneasler,gholdengo
32,160,https://pokepast.es/3140ad6e4a9a6ccd,talonflame,garchomp,tyranitar,lucario,sinistcha,gholdengo
33,120,https://pokepast.es/0293cfdefa7d1142,corviknight,tyranitar,excadrill,annihilape,indeedee-male,sneasler
34,120,https://pokepast.es/35b5472983344997,rillaboom,charizard,torkoal,ursaluna,hatterene,indeedee-female
35,120,https://pokepast.es/d56555ded76c3f79,talonflame,tyranitar,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
36,120,https://pokepast.es/b03d0bc40dea8a7c,talonflame,tyranitar,excadrill,gardevoir,indeedee-female,ursaluna-bloodmoon
37,120,https://pokepast.es/24cf40922f45353e,incineroar,pelipper,basculegion-male,annihilape,electrode-hisui,archaludon
38,120,https://pokepast.es/eea82b3d29b60ff1,incineroar,garchomp,whimsicott,dragonite,sneasler,gholdengo
39,120,https://pokepast.es/0038ea430f7aedcb,incineroar,charizard,torkoal,jumpluff,ursaluna,bronzong
40,120,https://pokepast.es/f9edf244ca407c90,incineroar,dragonite,annihilape,amoonguss,gholdengo,kingambit
41,120,https://pokepast.es/3af4ce5d7908ead6,talonflame,dondozo,tatsugiri-curly,annihilape,glimmora,gholdengo
42,120,https://pokepast.es/d6d50b5afd8359df,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
43,120,https://pokepast.es/7ac0a54444df8c62,rillaboom,volcarona,basculegion-male,annihilape,ninetales-alola,ursaluna-bloodmoon
44,120,https://pokepast.es/feef838297a17374,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
45,120,https://pokepast.es/00f589a1c7e1e878,incineroar,basculegion-male,dragonite,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
46,120,https://pokepast.es/b15b241b3f57e70a,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
47,120,https://pokepast.es/9b988f4d3af97126,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
48,120,https://pokepast.es/2610b569bad45243,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
49,120,https://pokepast.es/1348d5bc2ad62cc7,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
50,120,https://pokepast.es/a97947da813054f2,incineroar,porygon2,ursaluna,amoonguss,hydreigon,gholdengo
51,120,https://pokepast.es/57934a3495b53fbc,corviknight,tyranitar,excadrill,annihilape,indeedee-male,sneasler
52,120,https://pokepast.es/a3311f31a0549ce9,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
53,120,https://pokepast.es/9efe51f99e8bd993,pelipper,basculegion-male,annihilape,greninja,archaludon,sinistcha
54,120,https://pokepast.es/5d4e5404a209e1db,incineroar,garchomp,whimsicott,dragonite,gholdengo,kingambit
55,120,https://pokepast.es/ddf57744296d1643,incineroar,pelipper,quaquaval,archaludon,amoonguss,gholdengo
56,120,https://pokepast.es/f3d66501efe0a930,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
57,120,https://pokepast.es/2abce04d7f9e0e86,rillaboom,pelipper,basculegion-male,archaludon,electabuzz,kingambit
58,120,https://pokepast.es/488dbdd696f4b54d,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
59,120,https://pokepast.es/f2abe1a07fee41be,tyranitar,excadrill,kilowattrel,indeedee-male,sneasler,orthworm
60,120,https://pokepast.es/620b5f80b3ca6e49,dragonite,dondozo,tatsugiri-curly,sneasler,garganacl,gholdengo
61,120,https://pokepast.es/bf99636c81099b4b,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
62,120,https://pokepast.es/26a120606f943b8b,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
63,120,https://pokepast.es/5a01202a1805d13d,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
64,120,https://pokepast.es/ac3a780f7ed023cb,incineroar,garchomp,kilowattrel,weezing-galar,farigiraf,kingambit
65,80,https://pokepast.es/7e7fb6c38d32ee66,rillaboom,dragonite,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
66,80,https://pokepast.es/a9e69a27b9c0d53d,rillaboom,dragonite,annihilape,maushold-family-of-four,sableye,ursaluna-bloodmoon
67,80,https://pokepast.es/c2241069c7ddd344,incineroar,dragonite,annihilape,ninetales-alola,gholdengo,kingambit
68,80,https://pokepast.es/c02db48e65374a8a,incineroar,rillaboom,volcarona,pelipper,maushold-family-of-four,sneasler
69,80,https://pokepast.es/a1689c286112e1b9,talonflame,basculegion-male,dragonite,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
70,80,https://pokepast.es/7bb79780f1b13093,incineroar,garchomp,whimsicott,annihilape,hydreigon,gholdengo
71,80,https://pokepast.es/fe90becefd657423,salamence,primarina,electabuzz,sneasler,gholdengo,kingambit
72,80,https://pokepast.es/b4b316ea3d1a9741,rillaboom,dragonite,annihilape,sneasler,ursaluna-bloodmoon,gholdengo
73,80,https://pokepast.es/d7656e05339261e1,dondozo,tatsugiri-curly,archaludon,ninetales-alola,indeedee-male,sneasler
74,80,https://pokepast.es/ceaeb7f1411ca325,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
75,80,https://pokepast.es/44f00b35bf45735a,rillaboom,dragonite,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
76,80,https://pokepast.es/3e27d9a38d39e5a1,incineroar,rillaboom,archaludon,ninetales-alola,sneasler,gholdengo
77,80,https://pokepast.es/adb1bf2328875b9b,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
78,80,https://pokepast.es/5f2e367224fda36c,garchomp,tyranitar,dondozo,tatsugiri-curly,weezing,glimmora
79,80,https://pokepast.es/4098d1bf5df97ebe,typhlosion-hisui,garchomp,torkoal,venusaur,whimsicott,hydreigon
80,80,https://pokepast.es/833e67d47b6554bf,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
81,80,https://pokepast.es/4d1d6315ff139832,incineroar,pelipper,archaludon,gliscor,sinistcha,grimmsnarl
82,80,https://pokepast.es/c5d69968cb08da5b,incineroar,whimsicott,flamigo,ursaluna-bloodmoon,gholdengo,farigiraf
83,80,https://pokepast.es/256eee48ec5168dc,incineroar,porygon2,ursaluna,clefable,farigiraf,kingambit
84,80,https://pokepast.es/729134ff946e845f,incineroar,typhlosion-hisui,rillaboom,whimsicott,ursaluna-bloodmoon,farigiraf
85,80,https://pokepast.es/fd2a36b7e76c8ebf,whimsicott,annihilape,armarouge,indeedee-female,ursaluna-bloodmoon,dragapult
86,80,https://pokepast.es/f756483ffd53975a,volcarona,dragonite,dondozo,tatsugiri-curly,annihilape,archaludon
87,80,https://pokepast.es/b00145f3ec157a19,incineroar,dondozo,scyther,ninetales-alola,garganacl,gholdengo
88,80,https://pokepast.es/d03dfe540e199486,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
89,80,https://pokepast.es/ea8779a774a34790,tyranitar,excadrill,whimsicott,annihilape,electabuzz,gholdengo
90,80,https://pokepast.es/9a67e85857f0f2ed,incineroar,kilowattrel,gallade,amoonguss,ursaluna-bloodmoon,gholdengo
91,80,https://pokepast.es/7d109600dc9d1a55,incineroar,pelipper,archaludon,gliscor,sinistcha,grimmsnarl
92,80,https://pokepast.es/e0b2953ec50ee107,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
93,80,https://pokepast.es/b0d7b728fa463384,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
94,80,https://pokepast.es/425dfd870164142c,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
95,80,https://pokepast.es/63b46889209e2039,talonflame,tyranitar,excadrill,sinistcha,ursaluna-bloodmoon,gholdengo
96,80,https://pokepast.es/3219617d75dd1b41,rillaboom,volcarona,dragonite,ninetales-alola,sneasler,kingambit
97,80,https://pokepast.es/5ff79fddef8a930b,incineroar,rillaboom,dragonite,milotic,sneasler,gholdengo
98,80,https://pokepast.es/28d0c6fcf1b620c4,rillaboom,volcarona,basculegion-male,ninetales-alola,sneasler,ursaluna-bloodmoon
99,80,https://pokepast.es/aaacf5e33fae0b30,whimsicott,maushold-family-of-four,delphox,indeedee-male,sneasler,dragapult
100,80,https://pokepast.es/d1a1ef70900f652c,incineroar,rillaboom,pelipper,kingdra,archaludon,amoonguss
101,80,https://pokepast.es/b73314083aaf8343,incineroar,dragonite,indeedee-male,sneasler,ursaluna-bloodmoon,gholdengo
102,80,https://pokepast.es/4f3d6f0f04879d92,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
103,80,https://pokepast.es/bc0fe373b246ed57,corviknight,tyranitar,excadrill,annihilape,indeedee-male,sneasler
104,80,https://pokepast.es/1753fd5b028e3abc,tyranitar,annihilape,maushold-family-of-four,klefki,sinistcha,ursaluna-bloodmoon
105,80,https://pokepast.es/5b2a1db177ee9839,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
106,80,https://pokepast.es/8ecf8ee9e1e30bb8,incineroar,kilowattrel,ursaluna,araquanid,ninetales-alola,farigiraf
107,80,https://pokepast.es/645959cdba8a15bb,arcanine-hisui,whimsicott,dondozo,tatsugiri-curly,indeedee-male,sneasler
108,80,https://pokepast.es/cf65964afb1b6fde,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
109,80,https://pokepast.es/c8e05f22045e8727,incineroar,porygon2,kilowattrel,ursaluna,amoonguss,gholdengo
110,80,https://pokepast.es/a026251722f52636,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
111,80,https://pokepast.es/2d83177609a6c199,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
112,80,https://pokepast.es/ddd2108180285013,rillaboom,murkrow,annihilape,maushold-family-of-four,ursaluna-bloodmoon,farigiraf
113,80,https://pokepast.es/e4953dbeab5082fe,incineroar,garchomp,dragonite,ninetales-alola,sneasler,gholdengo
114,80,https://pokepast.es/668998e96ffe33da,pelipper,basculegion-male,maushold-family-of-four,archaludon,sinistcha,kingambit
115,80,https://pokepast.es/9bce4ab60f1d9aa1,rillaboom,dragonite,annihilape,maushold-family-of-four,ursaluna-bloodmoon,gholdengo
116,80,https://pokepast.es/0c022dc5761465e9,torkoal,armarouge,indeedee-female,sneasler,dragapult,kingambit
117,80,https://pokepast.es/172494829d2b4fb9,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
118,80,https://pokepast.es/74b32079b2a15e74,tyranitar,excadrill,annihilape,maushold-family-of-four,indeedee-male,sneasler
119,80,https://pokepast.es/2b1ea02ff4e5ffcb,volcarona,tyranitar,excadrill,dondozo,tatsugiri [droopy form],archaludon
120,80,https://pokepast.es/949c3036e0805f5e,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
121,80,https://pokepast.es/f5d60c4731dfb7ed,rillaboom,volcarona,dondozo,baxcalibur,sneasler,gholdengo
122,80,https://pokepast.es/353e0243d6747823,rillaboom,pelipper,basculegion-male,archaludon,sneasler,gholdengo
123,80,https://pokepast.es/9666f25bf28523df,pelipper,dragonite,archaludon,ursaluna,sinistcha,gholdengo
124,80,https://pokepast.es/1542e4548823b727,rillaboom,volcarona,dondozo,baxcalibur,sneasler,kingambit
125,80,https://pokepast.es/19d1e84493de865c,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
126,80,https://pokepast.es/60d2195e40eb7925,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
127,80,https://pokepast.es/ce8eb42a61ab5af0,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
128,80,https://pokepast.es/db59d3d06f48da1a,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
129,60,https://pokepast.es/28a20718d1bf5f96,incineroar,garchomp,whimsicott,dragonite,sneasler,gholdengo
130,60,https://pokepast.es/ebd68c63e9167eb4,corviknight,tyranitar,excadrill,annihilape,indeedee-male,sneasler
131,60,https://pokepast.es/cc10af74565f85e7,pelipper,basculegion-male,maushold-family-of-four,archaludon,sinistcha,kingambit
