Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/36c096af41605b97,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
2,325,https://pokepast.es/3b4944cac32ffa58,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
3,300,https://pokepast.es/4ec19c0acff266b7,incineroar,porygon2,ursaluna,hydreigon,amoonguss,gholdengo
4,300,https://pokepast.es/f2610ff381df20dd,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
5,280,https://pokepast.es/111d259aa3cf4b65,talonflame,garchomp,tyranitar,milotic,amoonguss,gholdengo
6,280,https://pokepast.es/1a62041228094762,incineroar,porygon2,ursaluna,vivillon,amoonguss,gholdengo
7,280,https://pokepast.es/4c3e570236c0c303,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
8,280,https://pokepast.es/2c3771dbcf021058,incineroar,porygon2,dragonite,amoonguss,sneasler,gholdengo
9,160,https://pokepast.es/afe7e20ec2a6758c,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
10,160,https://pokepast.es/1a950066a9a6c6c0,incineroar,dragonite,pelipper,basculegion-male,archaludon,sinistcha
11,160,https://pokepast.es/8b291f8c16ff52f8,dragonite,annihilape,magmar,ninetales-alola,ursaluna-bloodmoon,gholdengo
12,160,https://pokepast.es/d660df8172a28f48,incineroar,tyranitar,porygon2,ursaluna,amoonguss,gholdengo
13,160,https://pokepast.es/2017c69e895a7d55,incineroar,rillaboom,volcarona,dragonite,annihilape,ursaluna-bloodmoon
14,160,https://pokepast.es/70eee881fb41b833,pelipper,basculegion-male,annihilape,maushold-family-of-four,archaludon,sinistcha
15,160,https://pokepast.es/746110215e6bf4a6,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
16,160,https://pokepast.es/5d65b98d42283cb5,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
17,125,https://pokepast.es/76afe20167c0fb40,torkoal,lilligant-hisui,ursaluna,armarouge,hatterene,indeedee-female
18,125,https://pokepast.es/df0c6d53536262fe,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
19,125,https://pokepast.es/9b1da5e05aee3b30,rillaboom,garchomp,volcarona,drifblim,sneasler,kingambit
20,125,https://pokepast.es/b73c36945f8aa354,rillaboom,volcarona,dragonite,maushold-family-of-four,sneasler,gholdengo
