Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/26504864ac1d01e3,torkoal,lilligant-hisui,ursaluna,gallade,hatterene,indeedee-female
2,325,https://pokepast.es/e989df20e45c0107,volcarona,dragonite,annihilape,ursaluna-bloodmoon,gholdengo,grimmsnarl
3,300,,dragonite,magmar,annihilape,ninetales-alola,ursaluna-bloodmoon,gholdengo
4,300,https://pokepast.es/a186f67c2f73b299,incineroar,rillaboom,dragonite,annihilape,electabuzz,gholdengo
5,280,,corviknight,tyranitar,excadrill,rotom-wash,flamigo,amoonguss
6,280,,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
7,280,,murkrow,armarouge,sneasler,archaludon,gholdengo,kingambit
8,280,,typhlosion-hisui,dragonite,dondozo,tatsugiri-curly,indeedee-male,sneasler
9,160,,typhlosion-hisui,garchomp,murkrow,indeedee-male,orthworm,gholdengo
10,160,,volcarona,basculegion-male,murkrow,sneasler,archaludon,gholdengo
11,160,,rillaboom,charizard,torkoal,lilligant-hisui,porygon2,sneasler
12,160,,rillaboom,pelipper,dondozo,sneasler,archaludon,kingambit
13,160,https://pokepast.es/41d9d22ff54459c3,incineroar,rillaboom,goodra-hisui,amoonguss,sneasler,gholdengo
14,160,https://pokepast.es/a19a26ca7acf0e9e,torkoal,lilligant-hisui,ursaluna,gallade,hatterene,indeedee-female
15,160,https://pokepast.es/7174a3e51d6bf528,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
16,160,,dragonite,pelipper,archaludon,ursaluna,sinistcha,gholdengo
