Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/d8d1dd4ad8f3522d,incineroar,politoed,kingdra,gothitelle,archaludon,amoonguss
2,325,https://pokepast.es/68173335b941a2a0,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
3,300,https://pokepast.es/ab5517a6346aa641,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
4,300,https://pokepast.es/4cbd705a2c07f3ce,incineroar,garchomp,whimsicott,dragonite,sneasler,gholdengo
5,280,https://pokepast.es/ccb940b778afa3ce,rillaboom,basculegion-male,magmar,ninetales-alola,sneasler,kingambit
6,280,https://pokepast.es/ab5517a6346aa641,volcarona,tyranitar,annihilape,indeedee-male,sneasler,ursaluna-bloodmoon
7,280,https://pokepast.es/defa14ec65d075de,dragonite,pelipper,maushold-family-of-four,archaludon,gholdengo,grimmsnarl
8,280,https://pokepast.es/22680e1382c58d6e,incineroar,dragonite,annihilape,amoonguss,gholdengo,kingambit
9,160,https://pokepast.es/a93e765a5d961a2f,incineroar,porygon2,mienshao,ursaluna,amoonguss,gholdengo
10,160,https://pokepast.es/6c47d6708f5d941b,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
11,160,https://pokepast.es/1b48a4e40ba203c4,incineroar,pelipper,basculegion-male,archaludon,ursaluna,sinistcha
12,160,https://pokepast.es/6c47d6708f5d941b,rillaboom,arcanine-hisui,dragonite,ninetales-alola,sneasler,gholdengo
13,160,https://pokepast.es/4cd21502e7a52812,incineroar,dragonite,pelipper,archaludon,ursaluna,sinistcha
14,160,https://pokepast.es/5e40d121aa76254d,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
15,160,https://pokepast.es/9b441fc0493b62ab,torkoal,maushold-family-of-four,ursaluna,gallade,hatterene,indeedee-female
16,160,https://pokepast.es/d3391cde37b9f122,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
17,125,https://pokepast.es/e25981a0fa52eaef,incineroar,porygon2,ursaluna,hydreigon,amoonguss,gholdengo
18,125,https://pokepast.es/9fe993e66235e34c,rillaboom,volcarona,dragonite,electabuzz,sneasler,kingambit
19,125,https://pokepast.es/656f6a937705b889,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
20,125,https://pokepast.es/2a93c04b293e7d07,rillaboom,volcarona,basculegion-male,dragonite,sneasler,kingambit
21,125,https://pokepast.es/1a9f4d56fc5ffa10,incineroar,rillaboom,volcarona,tyranitar,basculegion-male,annihilape
22,125,https://pokepast.es/4e7bca0d8c0a8d55,incineroar,porygon2,dragonite,amoonguss,sneasler,gholdengo
23,125,https://pokepast.es/a2056b68518a3b26,incineroar,talonflame,electabuzz,indeedee-male,sneasler,ursaluna-bloodmoon
24,125,https://pokepast.es/dcff872fc572478d,incineroar,rillaboom,dragonite,milotic,ursaluna-bloodmoon,gholdengo
25,125,https://pokepast.es/ec7f61aab1e8c523,incineroar,pelipper,basculegion-male,archaludon,amoonguss,gholdengo
26,125,https://pokepast.es/4df613b91da13c9d,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
27,125,https://pokepast.es/0ac09865f2a3d339,incineroar,dragonite,annihilape,ursaluna,indeedee-female,gholdengo
28,125,https://pokepast.es/9c034cc7486e3337,incineroar,rillaboom,pelipper,archaludon,espathra,ursaluna-bloodmoon
29,125,https://pokepast.es/d3134f3284bc68bf,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
30,125,https://pokepast.es/94d0e21a5c38f697,typhlosion-hisui,garchomp,torkoal,jumpluff,dragonite,kingambit
31,125,https://pokepast.es/185cacb5fcc4807c,incineroar,rillaboom,dragonite,electabuzz,sneasler,ursaluna-bloodmoon
32,125,https://pokepast.es/aedc916a72b978e5,incineroar,porygon2,ursaluna,amoonguss,sneasler,gholdengo
33,100,https://pokepast.es/db11a3ee3c86342d,pelipper,basculegion-male,annihilape,archaludon,armarouge,indeedee-female
34,100,https://pokepast.es/ae82450a45c73de7,incineroar,rillaboom,clefable,sneasler,kommo-o,gholdengo
35,100,https://pokepast.es/9f11ae43c890e58d,incineroar,garchomp,tyranitar,kilowattrel,amoonguss,gholdengo
36,100,https://pokepast.es/a92947efd7485264,incineroar,charizard,torkoal,jumpluff,porygon2,ursaluna
37,100,https://pokepast.es/6c00721feb7c9a68,incineroar,dragonite,amoonguss,sneasler,ursaluna-bloodmoon,gholdengo
38,100,https://pokepast.es/f29f8565645a35a1,incineroar,whimsicott,dragonite,annihilape,hydreigon,gholdengo
39,100,https://pokepast.es/c258df4dda31a9f0,ceruledge,garchomp,gyarados,abomasnow,sneasler,kingambit
40,100,https://pokepast.es/e0285990a45d5fd3,incineroar,dragonite,sinistcha,ninetales-alola,sneasler,kingambit
41,100,https://pokepast.es/5c006ccc2c41aa23,garchomp,volcarona,hariyama,primarina,sinistcha,kingambit
42,100,https://pokepast.es/37301767287b6e6c,incineroar,rillaboom,charizard,whimsicott,ursaluna-bloodmoon,farigiraf
43,100,https://pokepast.es/b9e6a84e679706d6,talonflame,garchomp,annihilape,archaludon,weezing-galar,gholdengo
