 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Gholdengo          | 42.07795% | 158577 | 34.204% | 74306  | 34.495% | 
 | 2    | Rillaboom          | 40.14276% | 136049 | 29.345% | 66288  | 30.773% | 
 | 3    | Sneasler           | 39.32029% | 168324 | 36.306% | 84095  | 39.040% | 
 | 4    | Dragonite          | 37.00688% | 130190 | 28.081% | 54742  | 25.413% | 
 | 5    | Incineroar         | 36.53701% | 188581 | 40.675% | 91533  | 42.493% | 
 | 6    | Annihilape         | 25.87591% | 84512  | 18.229% | 37031  | 17.191% | 
 | 7    | Ursaluna-Bloodmoon | 24.32415% | 91109  | 19.651% | 47753  | 22.169% | 
 | 8    | Kingambit          | 22.93414% | 77728  | 16.765% | 34074  | 15.818% | 
 | 9    | Ninetales-Alola    | 21.96851% | 54956  | 11.854% | 25345  | 11.766% | 
 | 10   | Amoonguss          | 21.20407% | 106933 | 23.065% | 42488  | 19.724% | 
 | 11   | Archaludon         | 19.43987% | 103785 | 22.386% | 54919  | 25.495% | 
 | 12   | Ursaluna           | 16.95721% | 85177  | 18.372% | 46383  | 21.533% | 
 | 13   | Volcarona          | 15.73643% | 70197  | 15.141% | 27211  | 12.632% | 
 | 14   | Basculegion        | 14.46104% | 61653  | 13.298% | 33733  | 15.660% | 
 | 15   | Pelipper           | 14.13497% | 77850  | 16.792% | 43172  | 20.042% | 
 | 16   | Garchomp           | 12.67234% | 53781  | 11.600% | 28309  | 13.142% | 
 | 17   | Electabuzz         | 11.22937% | 55676  | 12.009% | 20996  |  9.747% | 
 | 18   | Tyranitar          | 10.49451% | 41767  |  9.009% | 22539  | 10.463% | 
 | 19   | Sinistcha          | 10.48245% | 37695  |  8.131% | 17701  |  8.217% | 
 | 20   | Porygon2           |  9.61426% | 54338  | 11.720% | 22837  | 10.602% | 
 | 21   | Dondozo            |  9.39796% | 23228  |  5.010% | 11255  |  5.225% | 
 | 22   | Torkoal            |  9.23451% | 51319  | 11.069% | 30722  | 14.262% | 
 | 23   | Magmar             |  9.15438% | 21544  |  4.647% | 8545   |  3.967% | 
 | 24   | Maushold           |  8.44539% | 39374  |  8.493% | 14192  |  6.588% | 
 | 25   | Indeedee           |  7.40318% | 45627  |  9.841% | 24256  | 11.260% | 
 | 26   | Whimsicott         |  6.28795% | 41822  |  9.021% | 14719  |  6.833% | 
 | 27   | Indeedee-F         |  5.80260% | 40781  |  8.796% | 19937  |  9.255% | 
 | 28   | Kilowattrel        |  5.35076% | 12902  |  2.783% | 4586   |  2.129% | 
 | 29   | Arcanine-Hisui     |  4.94699% | 20487  |  4.419% | 9191   |  4.267% | 
 | 30   | Talonflame         |  4.86008% | 31618  |  6.820% | 9953   |  4.621% | 
 | 31   | Typhlosion-Hisui   |  4.66310% | 20846  |  4.496% | 11194  |  5.197% | 
 | 32   | Tatsugiri          |  4.58850% | 14223  |  3.068% | 8095   |  3.758% | 
 | 33   | Hatterene          |  3.70357% | 16721  |  3.607% | 8653   |  4.017% | 
 | 34   | Gallade            |  3.67108% | 18794  |  4.054% | 8130   |  3.774% | 
 | 35   | Baxcalibur         |  3.54411% | 11768  |  2.538% | 4996   |  2.319% | 
 | 36   | Primarina          |  3.40537% | 37271  |  8.039% | 17663  |  8.200% | 
 | 37   | Hydreigon          |  3.16872% | 16581  |  3.576% | 7242   |  3.362% | 
 | 38   | Dragapult          |  2.94223% | 36194  |  7.807% | 17567  |  8.155% | 
 | 39   | Jumpluff           |  2.88590% | 20933  |  4.515% | 7325   |  3.401% | 
 | 40   | Klefki             |  2.57297% | 3992   |  0.861% | 1708   |  0.793% | 
 | 41   | Grimmsnarl         |  2.37120% | 13218  |  2.851% | 4823   |  2.239% | 
 | 42   | Lilligant-Hisui    |  2.36407% | 11447  |  2.469% | 2887   |  1.340% | 
 | 43   | Corviknight        |  2.35425% | 13997  |  3.019% | 5677   |  2.635% | 
 | 44   | Excadrill          |  2.22194% | 12695  |  2.738% | 6391   |  2.967% | 
 | 45   | Charizard          |  2.09265% | 21191  |  4.571% | 9993   |  4.639% | 
 | 46   | Dachsbun           |  2.07466% | 1285   |  0.277% | 731    |  0.339% | 
 | 47   | Kommo-o            |  2.04519% | 13861  |  2.990% | 5891   |  2.735% | 
