 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Incineroar         | 65.10180% | 211120 | 46.352% | 108023 | 50.744% | 
 | 2    | Gholdengo          | 57.72612% | 190871 | 41.907% | 90512  | 42.518% | 
 | 3    | Ursaluna-Bloodmoon | 42.97111% | 147840 | 32.459% | 75453  | 35.444% | 
 | 4    | Rillaboom          | 40.84069% | 170409 | 37.414% | 92080  | 43.255% | 
 | 5    | Ninetales-Alola    | 26.30702% | 92279  | 20.260% | 39439  | 18.527% | 
 | 6    | Sneasler           | 26.19249% | 132869 | 29.172% | 63535  | 29.846% | 
 | 7    | Dragonite          | 23.88200% | 116926 | 25.672% | 45779  | 21.505% | 
 | 8    | Amoonguss          | 23.57447% | 63484  | 13.938% | 24857  | 11.677% | 
 | 9    | Basculegion        | 21.46435% | 72007  | 15.809% | 38446  | 18.060% | 
 | 10   | Archaludon         | 19.91484% | 91339  | 20.054% | 47998  | 22.547% | 
 | 11   | Ursaluna           | 18.98916% | 70621  | 15.505% | 37594  | 17.660% | 
 | 12   | Volcarona          | 15.89668% | 68666  | 15.076% | 27712  | 13.018% | 
 | 13   | Annihilape         | 15.26996% | 89474  | 19.644% | 39053  | 18.345% | 
 | 14   | Kilowattrel        | 14.63736% | 24083  |  5.288% | 8462   |  3.975% | 
 | 15   | Pelipper           | 13.61635% | 65839  | 14.455% | 36296  | 17.050% | 
 | 16   | Porygon2           | 12.78187% | 31581  |  6.934% | 13666  |  6.420% | 
 | 17   | Kingambit          | 11.59261% | 56636  | 12.435% | 24900  | 11.697% | 
 | 18   | Garchomp           |  9.17659% | 35966  |  7.896% | 18173  |  8.537% | 
 | 19   | Tyranitar          |  8.91220% | 41466  |  9.104% | 23210  | 10.903% | 
 | 20   | Farigiraf          |  7.88507% | 30186  |  6.627% | 11291  |  5.304% | 
 | 21   | Maushold           |  7.56567% | 56011  | 12.297% | 22683  | 10.655% | 
 | 22   | Whimsicott         |  7.22964% | 51054  | 11.209% | 18635  |  8.754% | 
 | 23   | Torkoal            |  7.21783% | 46464  | 10.201% | 28508  | 13.392% | 
 | 24   | Sinistcha          |  7.19053% | 46118  | 10.125% | 20526  |  9.642% | 
 | 25   | Typhlosion-Hisui   |  6.04422% | 22994  |  5.048% | 12237  |  5.748% | 
 | 26   | Electabuzz         |  5.66857% | 29021  |  6.372% | 11009  |  5.171% | 
 | 27   | Dondozo            |  4.77426% | 23431  |  5.144% | 11841  |  5.562% | 
 | 28   | Indeedee-F         |  4.24818% | 41784  |  9.174% | 19999  |  9.395% | 
 | 29   | Dragapult          |  3.55885% | 24466  |  5.372% | 11335  |  5.325% | 
 | 30   | Tatsugiri          |  3.46415% | 15944  |  3.501% | 8884   |  4.173% | 
 | 31   | Indeedee           |  3.11403% | 28483  |  6.254% | 14936  |  7.016% | 
 | 32   | Grimmsnarl         |  3.09892% | 13905  |  3.053% | 5072   |  2.383% | 
 | 33   | Lilligant-Hisui    |  2.94854% | 14487  |  3.181% | 3806   |  1.788% | 
 | 34   | Magmar             |  2.92458% | 9972   |  2.189% | 3896   |  1.830% | 
 | 35   | Primarina          |  2.92036% | 32307  |  7.093% | 16568  |  7.783% | 
