 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Gholdengo          | 57.64818% | 221993 | 39.454% | 104265 | 39.784% | 
 | 2    | Incineroar         | 49.59707% | 220523 | 39.193% | 109951 | 41.953% | 
 | 3    | Rillaboom          | 38.30151% | 189198 | 33.625% | 98795  | 37.697% | 
 | 4    | Dragonite          | 34.64099% | 161291 | 28.666% | 64843  | 24.742% | 
 | 5    | Sneasler           | 32.09645% | 187041 | 33.242% | 91337  | 34.851% | 
 | 6    | Ursaluna-Bloodmoon | 30.05699% | 145202 | 25.806% | 73005  | 27.856% | 
 | 7    | Archaludon         | 25.73797% | 119743 | 21.281% | 63756  | 24.327% | 
 | 8    | Amoonguss          | 21.93634% | 101366 | 18.015% | 39300  | 14.995% | 
 | 9    | Basculegion        | 21.30226% | 80184  | 14.251% | 43315  | 16.527% | 
 | 10   | Annihilape         | 21.10015% | 125030 | 22.221% | 54185  | 20.675% | 
 | 11   | Ninetales-Alola    | 21.09365% | 90052  | 16.005% | 41691  | 15.908% | 
 | 12   | Pelipper           | 18.46284% | 89973  | 15.991% | 49327  | 18.821% | 
 | 13   | Ursaluna           | 17.24552% | 94892  | 16.865% | 51590  | 19.685% | 
 | 14   | Kingambit          | 14.95765% | 77541  | 13.781% | 33358  | 12.728% | 
 | 15   | Volcarona          | 13.59134% | 79126  | 14.063% | 31162  | 11.890% | 
 | 16   | Tyranitar          | 12.66227% | 62593  | 11.124% | 34615  | 13.208% | 
 | 17   | Garchomp           | 11.49572% | 54619  |  9.707% | 28364  | 10.823% | 
 | 18   | Maushold           | 11.42475% | 68665  | 12.204% | 27074  | 10.330% | 
 | 19   | Sinistcha          | 10.84676% | 53311  |  9.475% | 23936  |  9.133% | 
 | 20   | Kilowattrel        |  8.62997% | 17699  |  3.146% | 6256   |  2.387% | 
 | 21   | Porygon2           |  6.86119% | 47511  |  8.444% | 20285  |  7.740% | 
 | 22   | Electabuzz         |  6.50762% | 49611  |  8.817% | 18671  |  7.124% | 
 | 23   | Dondozo            |  6.23127% | 32477  |  5.772% | 15902  |  6.068% | 
 | 24   | Indeedee           |  5.10615% | 53776  |  9.557% | 28142  | 10.738% | 
 | 25   | Whimsicott         |  5.02193% | 50763  |  9.022% | 18409  |  7.024% | 
 | 26   | Grimmsnarl         |  5.01984% | 14215  |  2.526% | 5144   |  1.963% | 
 | 27   | Torkoal            |  5.01313% | 54050  |  9.606% | 32031  | 12.222% | 
 | 28   | Indeedee-F         |  4.63554% | 50797  |  9.028% | 25243  |  9.632% | 
 | 29   | Magmar             |  4.27593% | 17237  |  3.063% | 6621   |  2.526% | 
 | 30   | Tatsugiri          |  3.67717% | 19778  |  3.515% | 10929  |  4.170% | 
 | 31   | Ribombee           |  3.53866% | 3936   |  0.700% | 1454   |  0.555% | 
 | 32   | Hydreigon          |  3.19816% | 22691  |  4.033% | 9286   |  3.543% | 
 | 33   | Typhlosion-Hisui   |  3.17555% | 22552  |  4.008% | 11658  |  4.448% | 
